y1,y2,y3,y4,gen,race,income
0,0,0,100,1,0,9.64843572427178
96,99,99,99,0,1,10.4233897593535
95,0,0,,1,0,10.0993947753268
100,100,65,15,1,0,9.06221293370547
70,0,50,100,0,0,9.66966648423432
95,98,75,,0,0,10.1873805397537
50,100,50,0,1,1,9.74421547004106
90,100,,10,1,1,8.81047380475778
99,0,100,100,1,1,10.0997833945084
2,0,99,10,0,1,9.14380858771577
0,75,,,0,1,9.59239448131208
,,,,1,0,10.3320560846149
,100,100,100,1,0,10.0797453136255
80,0,40,25,0,0,9.97007779486819
90,100,100,85,0,0,10.3526518884211
95,70,85,90,1,0,10.0452626867406
0,100,0,0,0,0,10.0825235761692
0,90,0,100,1,0,10.4696622347799
100,100,100,100,1,0,10.4840152115123
100,0,99,0,1,0,9.37970866118526
100,100,100,0,0,0,10.281202779017
60,100,100,80,1,0,10.5189684244621
0,0,20,50,1,0,9.73551115476094
95,80,10,10,0,1,9.23707463274316
100,100,20,100,0,1,9.93026135291471
90,50,0,30,1,1,10.6689639949302
50,80,90,90,0,1,10.8016963763238
100,98,90,99,1,1,10.282114490314
0,0,0,0,1,1,10.4853249209369
75,75,50,0,0,1,10.4139628908683
0,0,100,100,1,1,10.4333378381576
0,25,,,1,1,8.97192985750804
25,0,50,99,0,1,9.49439017280547
100,99,99,90,0,1,9.16348261243254
0,95,0,0,0,0,9.76168614511435
99,70,80,78,1,0,9.86208336864035
75,50,10,0,0,1,10.594524352768
45,30,25,100,0,1,9.36872209477015
75,99,0,80,1,0,10.0027567788234
100,99,100,100,0,0,10.6985577831343
100,0,100,50,1,1,9.20401225282245
,100,0,,1,1,10.3288742693876
1,0,0,0,0,0,9.98444742522634
0,75,90,90,1,0,9.86939682764222
99,75,0,0,0,1,10.215256656769
0,15,0,50,0,1,9.89271762429691
0,0,100,0,0,1,9.34641451578175
50,50,50,0,0,1,10.3648589475619
75,75,50,55,1,1,9.26123392615823
100,99,100,100,1,0,10.6675671512449
100,99,99,97,1,1,10.163820565091
50,50,50,,0,0,10.1823960716139
100,100,0,0,1,0,8.85889458312762
99,100,50,,0,0,9.205332122105
100,100,100,95,1,0,10.2342952907413
50,0,0,100,1,1,9.97350219871034
0,0,100,0,0,1,8.94557170335332
0,100,0,0,1,1,8.73125234510054
75,90,90,80,0,1,10.0659841337591
50,100,100,90,1,0,9.73922606573706
90,50,,,0,1,10.8201376763707
70,0,0,0,0,0,10.3135440004568
100,50,100,100,1,0,9.67282737544963
0,,,,0,0,10.7269638761775
89,,,,0,0,8.80666799818245
80,100,80,50,0,1,10.769304227728
0,50,50,50,1,1,9.32028989332667
80,,,100,1,0,10.141998099403
0,0,0,0,0,0,10.4713549775764
0,75,55,60,1,0,10.4978693531321
50,,,50,0,0,9.38487486299289
99,70,0,60,0,0,10.0198694316834
0,90,0,100,0,0,9.84104759876611
100,95,90,,0,0,8.67667332585051
50,0,100,50,0,1,8.64461337900671
100,99,100,100,0,1,9.36910547962366
0,0,1,0,0,1,8.92549242041389
0,0,0,0,0,1,9.61590656926384
75,50,0,100,0,0,9.92994787167802
1,39,99,100,0,1,8.63829353908257
50,0,95,100,1,0,10.768700004898
0,80,50,50,1,0,10.1010131879607
100,50,50,50,0,1,10.1986101960229
,,0,100,1,0,8.84845045604408
98,50,0,35,1,0,8.98596762930951
5,50,25,50,1,0,9.76298857365175
75,100,80,0,1,1,8.54866916453584
100,100,100,20,1,1,9.58765461349821
50,0,,,1,1,9.80645515683335
50,100,0,100,0,1,9.76078482626012
50,0,90,20,1,1,9.79636147370236
100,100,50,,0,1,9.30538828349909
100,0,0,0,0,0,10.7084848883082
75,50,75,,0,0,11.0153448016107
0,0,90,50,0,0,10.0033664500157
15,100,80,50,0,1,9.99791211127274
2,100,80,75,0,0,10.1749332249209
90,,2,75,0,0,9.99619421252933
20,90,0,0,1,1,9.29697501640017
100,99,0,85,0,0,10.6467270974447
100,75,95,99,1,0,8.89481297270739
100,50,50,0,0,0,10.6287126660094
0,50,50,50,1,0,10.0540822656609
75,75,50,100,1,0,9.75560620019738
3,0,0,0,1,0,9.71372675693737
25,45,0,100,1,0,9.62428844930246
50,90,100,100,1,1,10.4621944146017
99,100,100,100,1,1,9.54680394957769
0,100,100,0,0,1,10.4495773739387
80,80,0,0,1,1,9.98979331067461
1,0,100,100,1,1,10.0131330552342
0,100,9,0,0,1,10.223935723532
86,70,75,25,1,0,10.0409671727227
90,85,,,0,0,8.50060170216138
100,90,90,90,1,0,8.28455115043972
75,90,95,90,1,0,10.5167000082348
50,50,,,1,0,9.5251214419286
0,,,0,1,0,10.4652599245392
90,90,80,95,0,0,10.3333841781221
80,95,0,0,1,0,9.22657551018051
100,15,50,0,1,0,9.72358924989397
90,90,85,90,1,0,10.9401939510902
1,100,100,100,0,0,10.145902246294
100,0,0,0,1,0,10.1575739287857
0,0,0,,1,0,8.85525275778956
0,0,90,0,0,0,10.3006972115634
50,100,99,100,1,0,10.4319996906605
75,75,65,75,1,0,9.97008682931876
0,100,100,100,0,0,9.90492626377331
100,100,100,100,1,0,10.0761092639271
75,0,50,100,0,0,9.38289162700823
100,75,,0,1,1,10.6143411951192
90,99,65,75,0,0,9.96270380343719
100,,,,1,0,9.75305194529191
0,,90,0,1,0,9.14360443699337
80,75,75,50,0,0,11.0076719534816
0,0,0,20,1,0,10.0191472958231
5,10,10,25,0,0,10.1817866044842
100,100,100,,0,0,8.96822571195815
1,5,99,21,0,0,8.97653205336492
50,,100,99,1,0,10.3112824747821
30,90,75,50,1,0,10.1005891360858
80,40,50,100,0,0,9.6279642005267
50,99,75,100,0,0,9.39664838977381
100,,,,0,0,9.76467038729125
0,,95,0,1,0,10.3721420777012
75,90,90,100,0,0,10.8319625960835
0,0,0,0,1,0,9.39818244949678
95,50,95,85,1,0,10.1199126057759
100,100,,100,1,0,8.47309068662119
10,50,100,5,0,1,10.1132384022993
100,60,75,90,0,0,10.4965202473737
0,95,99,,1,0,9.3502351361354
95,100,100,100,1,0,10.5833562562866
90,0,50,80,0,0,9.58149312796228
75,100,0,40,0,0,9.58091327309782
50,85,75,45,0,0,10.198732861772
5,40,0,70,0,0,7.9284985791086
0,50,100,,0,0,8.37852927757253
4,100,4,100,0,0,9.05143861829584
100,100,100,0,0,1,8.73527067117117
0,90,90,98,0,1,9.21214810727184
0,0,99,99,0,1,9.12494470525148
100,100,100,100,0,1,8.76093967520596
30,40,0,0,0,0,8.95438816082433
90,100,0,100,1,1,10.9582335144464
100,100,,100,1,1,10.3274337187764
0,,100,98,1,1,8.30486144680817
0,0,99,100,1,1,10.0183361270738
,100,,0,1,1,9.45933453394802
0,0,,0,1,1,8.53990378625751
50,0,0,0,0,1,10.3661674396681
50,20,100,40,0,1,10.315699528344
,0,100,100,1,1,10.5270970746811
100,90,95,98,0,1,10.2395760273378
50,,,,0,1,9.65402921766303
90,100,100,100,1,1,9.51517962370951
75,0,75,75,1,1,9.92045728770449
0,0,0,50,1,1,10.0888269852802
50,0,100,0,1,1,9.84253884970837
10,90,0,20,1,1,9.89841958542513
75,50,50,80,0,1,10.0547527952717
10,0,0,0,1,1,10.13746606372
20,13,100,,0,1,9.17243847147256
20,35,30,20,0,1,10.2117059819709
0,100,0,0,1,1,9.09645481426421
0,100,100,100,0,1,10.555323809677
10,0,5,99,1,1,9.91490625679067
70,90,20,50,1,0,10.0412207890909
10,5,,0,0,1,9.94288980240444
50,50,0,50,0,1,10.7672067613761
0,0,50,0,1,1,9.02640126582947
65,75,50,50,0,1,9.87634172883672
90,,,,1,1,9.96576990127413
100,99,50,90,0,0,10.8549123250946
,100,,,0,1,9.93290200338114
,89,50,0,1,0,10.2126525062624
100,,,,1,0,9.6843960475117
100,20,100,100,0,1,9.4522314759665
100,1,0,0,0,1,9.45736916565887
5,50,100,0,0,1,10.9016607601011
100,0,100,50,1,1,8.9263252173168
100,100,100,100,1,1,8.4642999277281
30,90,,98,1,0,9.56148899501862
0,0,0,20,1,0,9.75880860493023
50,50,0,,0,0,10.2974372209628
50,0,50,75,0,1,9.79302344771199
80,99,100,100,0,1,7.52185698479785
90,30,100,95,0,1,10.2472029270432
0,100,100,100,0,0,9.58389126250388
50,80,0,99,0,0,9.77562926948903
100,,100,0,0,1,9.65102035311067
100,100,80,25,0,1,10.1476898580787
75,50,50,,0,1,7.86777145871339
75,100,99,50,1,1,10.5755385957046
65,20,50,0,0,0,8.71256297296284
100,50,85,99,1,0,9.86796436022138
0,45,30,1,1,1,8.03211166484979
100,0,50,90,0,0,10.3602920250846
75,0,10,60,0,0,9.75820113338796
99,100,80,75,1,0,9.70624867538
0,10,100,50,1,1,8.80592307616015
100,100,1,100,0,1,10.0518389549663
0,0,50,50,1,1,9.87475823421021
6,,100,5,0,1,8.77508752618897
0,50,0,50,1,1,7.7411015323566
0,0,100,0,0,1,9.2186052995692
0,0,89,100,0,1,9.87384622248274
0,0,5,,1,1,9.94239590535699
80,90,99,90,1,0,10.5205157435642
50,75,50,50,1,0,10.1007902051032
,90,100,100,1,0,10.723983011457
50,,75,0,0,0,9.19013574185205
70,50,50,70,0,0,9.83316054075277
80,75,90,50,0,0,10.2727396842072
0,99,100,100,0,0,10.0881796943842
,100,95,100,0,1,9.99995933489107
,0,100,100,1,1,9.24530135682217
0,50,1,0,1,1,9.91599246518683
75,90,95,100,1,0,10.2814065937316
51,100,0,0,1,1,8.40676719901065
100,50,0,,0,1,9.41083138627664
0,2,60,100,1,1,10.1696335879303
,75,50,50,0,0,9.08779819900218
0,0,50,0,0,0,10.3791564407359
90,0,100,100,1,1,8.35363453946662
0,100,100,10,0,1,11.076167770664
95,0,90,0,1,1,10.1189893422642
60,70,100,30,0,0,9.96452452869906
0,100,0,,1,1,10.1744926091689
0,,,,1,1,7.86397749432253
99,100,100,100,1,1,8.56377120309587
90,95,40,90,0,1,9.77993597216573
99,0,6,100,1,1,9.20340877145873
30,25,0,0,0,1,8.94628868315611
0,60,99,30,0,1,9.79339130720707
0,0,100,0,1,1,8.78400261120823
0,0,0,10,0,1,7.6865809387106
0,0,0,0,1,1,8.85389432880129
90,,,,0,1,9.91068074359384
50,99,100,56,0,1,10.4878297277422
50,30,0,20,1,1,8.11296044900542
0,0,0,2,1,1,8.98702075774446
90,100,50,25,1,1,10.1579717997578
65,,80,100,1,1,9.60728322086595
20,,,0,0,1,10.1158924755831
25,,100,,1,1,8.50590018512459
0,,100,,1,1,9.10948038906074
100,100,100,100,0,1,9.90764594399069
100,50,100,100,0,1,9.49979906781697
90,70,30,50,0,1,9.54213572236025
0,100,40,99,0,1,9.98824603325996
90,80,99,98,0,1,10.5184288049826
99,100,100,100,1,1,9.16482933390853
0,0,100,100,1,1,8.75420360056579
0,100,100,100,1,1,7.91970230637974
0,0,0,0,1,1,8.918714619286
100,50,50,50,0,1,8.72983327851138
99,99,0,0,1,1,10.3607669872163
100,100,100,100,1,1,9.24635166920041
85,60,2,40,0,1,10.0158227417452
80,80,50,50,1,1,8.93366095949995
0,0,0,0,1,1,9.94066962356012
50,0,0,0,1,1,7.46998143683795
0,0,100,0,1,1,8.99625854536256
0,50,100,50,0,1,9.95350745836243
0,0,0,0,1,1,10.0301977360346
0,,0,50,1,1,8.44002906867482
0,0,0,0,1,1,9.43663976317794
50,3,10,100,0,1,10.0231944268511
75,100,0,100,0,1,9.9593360504716
95,0,99,65,1,1,8.80677351260158
99,99,90,100,1,0,9.79835086828704
0,0,0,0,1,1,9.45079589621458
0,0,100,0,1,1,9.82657124324538
50,75,75,100,0,1,9.57892831149241
0,0,0,0,0,1,10.5834605944685
90,90,70,40,0,1,10.6057361781304
100,100,100,0,1,1,9.41185110689434
0,75,99,,0,0,10.6483334533423
90,95,90,0,1,0,10.3289069828425
100,100,90,5,0,0,10.452816309362
0,0,100,90,1,0,9.70622764154889
75,75,25,75,1,0,10.111842195548
75,76,70,80,0,1,9.85318015277579
100,69,,100,0,1,9.55855525678131
95,100,100,40,1,0,8.98836685013579
85,,,,0,0,11.0254007734814
,0,0,0,1,1,9.69538929254737
,0,100,100,0,1,9.22047190180893
100,0,99,95,0,1,10.2662339209881
100,100,100,0,1,1,10.0363663406948
75,100,99,90,1,0,10.4635723437149
0,0,50,,1,1,10.1206569634497
99,99,75,,0,0,9.576250157903
90,100,,,0,0,10.4364601537172
50,90,80,75,0,0,9.48105974720722
0,90,,0,0,0,10.2407833634245
99,0,100,100,1,0,9.58619982799986
2,20,0,0,0,1,9.1517608703106
80,25,50,75,0,0,8.67922005643847
100,100,80,90,1,0,9.44591711204365
90,100,50,100,0,1,9.72518750564993
99,100,99,100,1,1,9.76135038182104
80,99,1,1,0,1,9.74412718686986
,50,0,75,0,1,10.5943699306007
100,,100,100,1,1,9.27455587421875
0,6,5,50,0,1,9.49402854399255
0,,,,1,1,9.93421981911706
0,50,50,95,1,1,9.49818187317414
95,100,100,100,0,1,9.89890566125066
80,75,99,50,0,1,9.41535973527541
100,100,0,,1,1,6.74572664284846
100,,0,0,1,1,9.94341082256137
10,90,70,80,0,1,9.71789641322757
100,95,100,50,0,1,9.7032574804004
,0,100,100,0,1,10.1022552126305
100,100,50,10,1,0,8.51249978786323
50,50,50,60,0,1,10.7137992839689
90,75,50,10,0,1,9.58192932020553
50,5,0,0,0,1,9.18301330339906
75,90,100,99,0,0,8.25406084740327
0,0,0,100,1,0,10.2688381643303
0,0,0,0,1,1,9.9451737761292
90,,,,1,0,8.88414421037527
95,,,,1,1,10.4808969766863
75,75,,,1,1,8.18425565253855
1,0,0,50,1,0,10.3577673925784
75,100,0,50,1,1,10.2602856149536
75,0,0,0,1,0,11.1523878356011
3,5,45,25,0,1,10.4686124608003
85,100,85,,0,0,10.1918215251637
1,0,0,0,1,0,10.0653827480979
90,75,,50,0,1,11.0958483011517
80,99,100,100,1,1,9.90261942745805
100,99,80,,1,1,9.87922379522096
0,50,100,100,1,1,10.2273462805704
100,100,80,50,0,1,9.54090608593939
95,99,100,70,0,0,10.3402308518935
100,100,100,100,0,1,9.3957798840398
10,50,0,10,0,0,10.3154566253684
100,0,60,75,0,0,11.4412759041569
25,20,0,20,1,0,8.41610143682179
50,,100,100,0,0,10.3715968479093
85,10,90,90,0,0,8.61922349964823
50,100,75,75,0,0,9.65200488557714
34,0,,,0,0,9.11201924192285
100,100,100,,0,0,9.97982724440444
,,,,0,0,9.51448792188899
80,100,100,97,0,0,9.63517585610971
100,100,70,99,1,0,7.58068533527264
100,100,100,100,1,1,9.30552481092388
95,98,90,95,0,0,10.53193129744
100,99,100,100,1,0,8.72248733410105
100,100,99,99,1,0,8.54787550980782
10,40,50,50,0,0,10.139135073627
100,90,90,0,1,1,9.52691895970785
0,0,0,0,0,0,6.77774392585716
99,99,100,75,0,0,10.5990872387239
100,80,80,80,0,1,10.3825747177758
100,100,100,0,1,1,9.61993737380541
100,10,30,50,0,0,10.0692028213556
100,100,50,100,0,0,10.1333648497279
50,50,,,0,0,10.6047562175141
100,100,,100,1,0,10.3122734447786
99,0,100,100,0,0,10.4414918519614
99,100,100,100,0,0,9.60949116517711
100,100,100,100,1,1,8.7670089484924
100,100,99,0,1,1,7.65201379571397
,1,100,100,0,0,9.83867582480427
75,50,100,0,0,0,10.2047601378028
100,100,0,100,0,0,10.3862145157489
99,0,99,100,0,0,9.8156601586206
96,100,100,100,1,0,10.1610331634159
100,0,68,0,0,0,10.1127232360034
90,60,100,100,0,0,10.3396432268205
100,100,0,0,1,0,9.48101784202539
95,95,69,95,1,0,10.3062963090429
100,100,100,100,1,0,9.58885412620749
80,100,100,100,1,0,10.2246494520908
89,100,100,75,0,1,9.67812595546469
100,100,100,99,1,1,10.1840752617481
0,1,100,0,0,0,10.4201924816268
100,99,100,100,0,0,10.4140711967144
89,99,99,100,0,0,8.96010690085315
50,100,50,50,1,1,7.03798385005802
0,0,0,0,1,1,10.1743976901339
0,,100,,1,1,8.56968470660763
100,100,90,100,1,1,8.55108837154165
0,90,0,0,1,1,9.93500264219924
30,30,20,,1,0,10.0267771077225
50,90,100,,1,0,10.1404142767782
75,80,99,100,0,1,10.7201455541375
90,100,100,100,1,1,10.3702524983941
0,25,50,0,0,1,9.84445944520116
0,,,,1,1,9.49958572487932
50,0,,0,1,1,8.40081084473255
100,100,100,10,0,1,10.5608660356562
0,0,0,0,1,1,9.6834533004382
0,21,50,50,1,1,9.45945348684621
0,50,98,100,0,0,8.97295077596326
80,50,80,100,1,0,9.68447900846279
90,100,100,100,0,0,10.0529438899661
99,98,99,100,1,0,10.3737554175155
50,100,0,100,1,0,9.2061509064267
99,95,99,99,0,0,9.66718208591091
95,0,80,80,0,0,9.66688863727962
0,0,0,0,0,0,9.73857806907335
100,100,100,0,1,1,10.4290469614155
,90,90,95,1,1,9.16451528993889
89,90,99,99,0,1,8.85418391953901
90,100,100,100,1,1,9.46755269017836
90,0,0,0,0,1,10.3206791536204
100,0,0,0,0,1,10.1667320290412
,,,100,0,1,9.89540196320667
100,,,,0,1,9.79170197325895
0,0,0,100,1,1,9.90808313312246
100,30,100,12,0,1,9.61175564424015
100,70,,0,1,1,10.4112752361343
100,0,10,0,0,1,10.3371312157306
0,1,100,0,1,1,9.42366721505489
75,80,99,99,0,0,9.66622428824448
95,75,100,95,0,0,10.4653891763369
,100,100,98,1,0,9.88858791731112
100,0,100,50,0,0,10.4120146627818
,0,80,50,0,0,9.53603776133189
75,0,0,78,1,0,10.6022957081215
85,80,75,75,1,0,10.5434613725974
80,0,100,100,1,0,10.4823202645667
100,100,99,50,1,0,9.41103517691824
100,0,90,0,0,0,10.4105460504192
0,0,100,,1,1,8.11496787408337
100,99,99,100,0,0,9.8272354272147
98,50,75,25,1,0,9.96205001481031
75,50,99,75,0,0,10.6405552764937
95,100,,,1,0,10.0331416886491
35,35,50,50,0,0,9.96538953251443
90,0,20,50,0,0,10.6552441938422
,,,100,0,0,8.76353007118601
100,,,100,0,0,9.80897302096898
100,,,,0,1,10.645184121154
5,0,0,0,0,0,8.82932119834521
70,70,60,10,0,0,11.6031859821645
75,90,99,80,0,0,10.1080122403863
100,100,75,0,1,0,9.1100611123524
0,0,50,100,1,0,10.4714882870435
1,75,2,80,1,0,8.96868409341612
90,50,50,25,0,0,10.1488892890936
75,50,90,100,1,0,10.3415769785413
0,0,,,1,0,9.18389951390773
90,0,,0,0,1,10.1093857004236
75,,80,,0,1,10.6318200235887
90,,0,75,1,1,9.61936970477933
75,50,75,50,0,1,9.90695876377445
50,75,50,20,1,1,10.0942938993077
100,100,,,0,1,10.7161204176609
100,,1,1,0,1,9.97219820169678
50,50,80,90,0,1,10.3169495178939
75,99,50,50,0,1,10.0669362678428
,,,,0,1,8.43993170026199
0,50,0,50,1,0,11.114096197809
65,55,69,0,1,0,10.5530294424857
99,100,50,50,1,0,10.3936564769489
80,60,96,98,0,1,9.79595005262655
90,100,50,,0,1,10.3461780052925
0,100,100,100,0,1,10.463196284707
100,100,100,100,1,1,9.84414358633485
0,100,0,0,0,1,9.85207438333465
55,50,0,0,1,1,9.7270117111093
90,100,70,80,1,1,7.25610408640248
25,0,0,100,1,1,9.65995689300283
50,0,100,100,1,1,9.28447959372439
95,1,0,100,0,1,8.11086536317844
0,100,100,0,1,1,9.67636901342383
,0,99,100,0,1,8.59848326656793
75,70,0,0,1,1,8.63690821375294
0,0,0,100,1,1,10.3216794174225
0,50,75,0,0,1,9.5256903339476
0,40,0,99,1,1,8.83525976599436
100,99,50,90,0,1,9.43356175295974
100,99,,90,1,0,8.830044521034
,25,50,50,0,0,10.4890024469314
100,50,100,100,0,1,10.8625167414326
0,90,0,0,1,1,8.7424619260107
60,80,,90,0,1,10.4828619100599
0,0,90,10,0,1,10.4947201806881
3,,,100,0,1,10.0233668806626
90,99,100,,1,0,8.59319786200317
60,50,50,50,0,1,10.152275363467
67,100,1,0,0,1,9.65053851304513
1,100,9,99,0,1,10.1322322485782
0,50,100,100,0,1,9.94814333607629
90,,,,1,1,8.42215439145397
0,0,100,,0,1,8.86566003837847
10,,,0,1,1,8.11152665799942
90,7,100,99,0,1,8.72887273966303
0,0,0,0,0,1,10.1188908735538
100,90,100,80,1,1,9.5071653003667
0,,0,50,1,0,9.16870883873097
99,50,90,50,1,0,8.83060688726782
0,0,0,0,0,0,10.528756035612
0,,,0,1,0,10.7544125351866
75,,,,1,1,9.0909295118215
99,95,100,0,1,1,9.16576942167768
50,100,50,50,1,1,9.74015509863408
100,36,0,,0,1,10.25233188122
75,50,0,0,0,1,10.1709879110811
100,100,100,0,1,1,8.88641547168511
50,50,0,0,0,1,10.0981805139337
0,100,100,,1,1,8.8114571023813
