y1,y2,y3,y4,x1,x2,x3,x4,gen
60,25,45,,5,50,75,,0
75,90,99,100,50,10,10,,1
17,0,0,100,25,0,11,0,0
50,50,99,50,20,50,50,50,0
0,100,,100,100,100,,100,1
100,70,100,100,0,0,70,85,0
5,0,,,99,100,,,0
85,100,99,80,50,75,85,85,0
2,2,,,50,100,,,0
50,50,50,100,50,75,50,50,1
0,,70,10,0,0,50,0,0
50,99,70,90,30,40,1,10,1
0,50,,,0,0,,,0
50,100,,100,99,0,,50,1
90,,85,,10,,5,,0
50,,,0,10,,,0,0
20,99,99,95,10,95,95,50,0
30,0,0,0,50,50,1,0,0
50,0,0,0,90,50,99,99,0
25,50,50,75,0,1,10,10,0
99,70,100,100,0,50,99,50,0
85,,,,15,,,,0
70,90,70,80,,,30,20,0
0,0,0,0,0,0,,100,1
75,75,75,90,5,25,5,1,0
0,0,0,0,87,100,75,24,1
100,100,100,100,97,25,1,0,0
90,99,0,99,50,20,50,0,0
0,50,100,0,0,0,0,0,0
50,95,99,0,15,5,5,50,0
0,100,,75,75,50,,10,0
0,0,100,99,99,0,0,75,1
85,65,70,90,0,10,10,0,0
40,99,75,99,10,0,50,0,0
99,100,100,80,0,30,30,5,0
35,65,25,30,78,80,90,70,1
75,0,100,90,25,70,0,0,1
85,100,100,90,15,85,50,65,1
10,100,93,100,50,0,15,20,0
100,80,90,100,20,90,0,0,0
100,60,100,95,0,20,10,5,0
95,87,80,90,5,65,80,80,1
100,99,80,70,0,0,0,30,0
100,90,70,95,0,1,20,20,0
40,90,50,0,20,50,40,100,1
90,0,100,100,20,0,50,50,1
1,0,0,0,50,100,0,100,1
50,100,100,100,40,50,50,50,0
85,95,95,90,0,10,0,20,1
77,75,100,100,0,2,50,99,0
75,90,0,50,50,0,25,75,1
50,75,100,75,50,24,45,75,1
0,80,99,10,5,0,10,85,0
0,1,1,1,50,1,0,0,0
100,100,100,100,50,100,0,25,0
9,99,100,100,88,0,25,1,0
99,100,50,50,50,90,10,50,0
0,0,0,0,0,0,0,0,1
0,,,,50,,,,1
80,0,0,100,30,70,100,0,0
99,100,,,75,0,,,1
50,75,85,75,30,25,50,20,1
0,50,90,90,100,30,10,80,0
60,90,1,100,25,0,2,0,0
100,98,100,,45,45,4,,0
0,70,100,75,50,100,75,25,1
70,90,50,80,10,10,20,0,0
25,50,100,50,50,25,10,50,0
100,0,100,,30,50,50,,0
0,0,0,,99,15,90,,1
97,0,100,100,5,0,0,0,0
0,,100,,50,,0,,1
100,100,100,,10,0,5,,1
99,,,,0,,,,0
100,,,,0,,,,0
100,0,100,100,0,0,0,50,1
90,10,95,,10,50,50,,0
95,0,100,0,75,25,97,20,1
99,0,0,90,100,0,0,5,1
99,100,50,80,99,50,10,50,0
100,100,100,100,50,0,0,0,1
95,,,90,6,,,5,0
75,,0,,25,,50,,1
100,90,100,90,50,0,1,70,1
100,90,90,95,10,25,15,50,0
50,0,1,0,10,2,45,100,1
100,100,100,100,50,100,0,0,0
100,100,50,,1,0,0,,0
95,98,100,45,12,2,50,85,1
50,100,0,0,50,0,0,0,1
0,0,100,100,0,50,2,0,1
100,100,98,,88,50,70,,1
0,0,50,15,0,0,50,70,0
75,100,95,100,50,25,40,10,1
0,,,,0,,,,0
99,,,50,50,,,50,1
75,75,80,90,50,50,50,10,0
0,50,100,100,0,50,1,30,1
100,1,99,100,0,0,1,0,0
50,50,100,0,50,40,1,75,1
50,0,50,50,0,0,3,50,0
0,0,50,50,0,0,0,50,1
99,0,90,0,2,50,70,50,1
50,50,90,80,50,100,0,5,0
50,,,,50,,,,0
95,,,,10,,,,0
95,98,95,100,0,0,0,1,0
100,0,0,100,0,0,50,0,1
99,1,100,100,25,0,90,0,0
95,75,75,,0,0,10,,1
100,0,50,50,10,100,25,50,1
85,8,90,99,15,5,10,50,0
80,30,0,,50,50,45,,0
69,100,100,95,33,50,0,80,0
100,50,0,99,100,50,0,0,0
99,100,100,100,1,50,0,50,0
75,,,,50,,,,1
50,75,75,90,50,50,50,,1
95,80,90,60,5,5,15,80,1
100,100,80,50,90,50,10,65,1
100,100,100,100,0,0,0,50,1
100,100,100,100,50,50,100,75,1
100,100,100,100,0,0,0,0,0
0,0,0,,0,2,0,,1
0,100,90,25,0,0,0,50,0
15,65,35,41,50,55,35,21,0
90,100,100,80,50,50,25,20,0
75,99,95,90,0,50,0,25,1
99,100,100,100,20,0,0,0,0
0,100,50,0,50,0,0,0,0
97,15,100,90,50,50,95,5,0
0,0,0,0,,100,100,,1
50,0,0,,0,100,100,,0
90,100,1,,90,0,50,,1
100,45,95,0,100,23,10,100,1
99,100,100,100,1,0,1,0,0
0,100,20,50,0,50,60,60,1
100,80,75,,50,10,10,,0
75,99,100,100,1,25,25,50,1
100,55,50,50,50,50,50,80,1
98,,100,99,50,,,75,1
,,5,15,,20,60,15,0
50,35,99,25,50,50,0,10,0
100,100,100,100,0,0,0,0,0
60,100,100,0,95,0,0,0,0
45,0,100,100,90,0,0,0,0
10,50,100,99,90,75,95,56,1
90,,50,,90,,50,,1
50,100,100,100,0,0,0,0,0
90,50,75,100,0,50,5,15,1
90,100,100,100,10,0,10,5,1
99,100,100,100,50,90,50,0,0
0,50,90,50,50,0,0,20,0
99,50,100,70,99,20,2,1,0
0,100,100,100,0,98,50,50,1
99,100,100,100,2,0,75,80,1
100,100,100,50,0,10,10,50,0
100,50,0,0,0,50,0,0,1
95,,100,50,5,,0,50,0
75,,,,15,,,,0
57,99,97,100,50,25,10,1,0
100,99,,0,100,0,,9,0
30,75,95,35,50,25,45,25,0
100,50,50,0,25,1,50,50,1
75,0,75,100,25,0,0,0,0
50,100,,0,0,5,,50,0
50,50,65,70,65,50,55,40,1
0,0,5,5,50,10,90,90,0
75,99,99,99,2,75,20,0,0
50,20,70,50,50,0,70,0,0
0,0,100,50,50,0,0,0,0
10,90,80,50,90,50,50,0,0
85,75,75,90,15,10,10,10,0
0,0,100,100,50,50,0,50,1
100,100,100,0,100,50,30,100,1
100,100,90,100,25,0,0,50,0
1,80,50,80,100,50,10,50,1
99,0,,,10,,,,1
55,10,50,50,89,0,0,0,0
90,0,50,0,99,50,25,50,0
99,50,,75,1,0,,10,0
0,85,,,0,0,,,0
85,75,75,75,25,0,0,10,0
0,0,100,99,0,0,99,0,1
50,,,75,100,,,5,1
0,,0,,0,,50,,1
100,100,100,,0,10,25,,0
99,,25,,0,,25,,0
100,100,,90,0,50,,90,1
0,90,98,80,95,75,1,0,1
100,0,0,100,95,0,1,100,0
65,75,75,75,25,90,100,0,0
95,0,80,0,50,0,50,99,1
99,75,99,100,75,99,10,15,0
100,100,,0,50,0,,90,1
100,,,99,90,,,1,1
5,95,70,5,20,90,80,95,1
95,95,100,100,5,4,80,40,0
75,100,100,100,0,0,0,0,1
100,90,90,99,50,50,50,75,1
0,0,0,0,0,100,50,0,1
75,100,100,0,10,100,0,100,1
100,75,95,75,90,50,20,50,1
10,0,95,90,10,0,10,0,0
90,50,100,100,20,10,50,0,1
0,0,0,,0,0,0,,0
50,100,0,100,0,0,1,0,1
50,100,100,100,25,0,0,0,0
50,100,100,100,50,0,0,0,0
50,99,75,95,50,50,0,0,0
95,99,99,99,2,5,1,1,1
99,50,99,100,0,0,0,0,0
98,0,0,0,50,99,0,90,1
90,50,100,100,2,0,0,0,0
80,90,90,90,20,10,5,1,0
50,100,100,100,0,50,,50,1
0,90,0,0,99,50,80,50,1
0,100,80,90,80,40,0,10,1
0,90,90,100,0,50,50,80,0
50,100,98,90,20,10,20,5,0
0,50,96,70,9,0,30,30,0
98,100,9,1,0,3,2,100,0
50,90,5,100,50,98,99,0,1
100,100,75,,50,100,20,,0
95,100,99,100,5,0,0,0,1
75,95,99,98,0,100,5,2,1
0,0,98,75,5,0,1,10,0
50,95,100,100,25,0,50,0,1
65,100,0,0,80,100,0,5,1
85,0,80,94,10,0,100,35,0
,,,,,,,,0
0,50,0,0,0,0,0,100,1
0,10,0,100,100,50,100,,1
0,0,0,,100,0,100,,1
1,,,,0,,,,0
100,,100,100,50,,50,50,1
,99,98,,,0,2,,0
0,85,70,90,50,10,20,0,1
100,100,100,100,1,0,0,0,0
50,80,75,99,1,0,0,0,0
75,0,100,0,50,0,0,0,0
75,90,99,25,15,0,0,10,0
0,99,50,50,0,99,50,50,0
90,100,0,85,0,0,0,0,0
100,0,0,0,0,100,100,100,1
50,0,100,75,55,50,50,50,1
100,99,0,100,75,40,0,50,1
80,99,85,75,0,50,50,10,0
88,50,75,95,11,45,15,15,0
,0,60,1,0,50,50,80,0
90,98,95,56,10,5,0,0,0
15,5,,,50,50,,,0
99,100,100,0,0,0,100,100,1
80,100,100,100,80,30,35,15,0
0,0,100,100,50,0,0,0,0
100,100,99,100,50,20,68,0,1
99,50,0,0,1,0,50,0,0
50,5,0,0,75,50,0,100,1
100,75,100,50,0,0,0,0,0
100,75,100,90,35,20,,80,0
100,99,100,99,25,0,0,0,0
75,90,75,50,10,20,0,10,0
75,0,90,99,15,0,90,15,1
100,99,100,100,0,0,0,10,0
99,100,99,0,0,0,1,0,1
99,50,80,,10,60,50,,1
0,98,99,0,98,50,,90,1
25,80,50,50,10,0,25,50,0
3,0,60,0,12,0,20,100,0
75,25,90,95,50,50,50,10,0
0,100,0,100,0,0,0,0,1
90,85,99,100,0,30,1,1,1
0,0,50,60,0,1,60,50,0
95,80,,99,10,20,,0,0
90,50,75,50,0,0,,50,0
90,75,50,72,10,90,10,0,0
100,60,90,50,5,0,5,0,0
50,50,100,100,70,0,50,50,1
75,,,,25,,,,0
75,100,100,0,45,50,50,100,1
100,100,100,,0,0,0,,1
0,95,0,0,90,75,100,100,1
75,80,75,80,10,3,2,0,0
0,0,100,100,0,0,0,0,1
99,100,50,100,1,3,50,65,1
100,95,95,75,0,95,0,50,1
,90,99,95,,90,0,0,0
95,95,99,0,10,50,25,100,1
75,100,0,100,0,0,0,0,0
0,100,100,99,0,0,90,1,0
50,75,15,65,25,25,0,0,1
100,100,20,0,80,100,0,0,0
100,0,100,100,0,100,0,0,0
70,90,70,100,20,3,40,0,1
100,50,25,100,3,99,0,0,0
50,30,33,20,10,10,50,40,0
0,0,0,100,50,100,100,0,1
90,100,99,100,5,1,5,35,1
0,0,90,85,50,25,0,30,1
100,100,90,100,0,0,0,0,1
100,89,6,90,0,1,2,2,1
30,0,0,0,50,0,0,30,0
90,100,100,100,90,0,20,15,1
100,100,100,100,0,0,0,0,0
100,100,100,100,50,50,0,0,0
0,80,50,50,50,50,25,25,0
45,75,100,50,30,50,30,30,1
65,75,90,66,50,25,15,44,1
90,99,95,99,50,5,45,0,0
100,0,100,100,0,1,1,0,0
0,100,100,70,25,57,75,50,1
35,50,85,75,15,30,60,50,0
90,0,50,100,0,50,50,50,1
90,80,40,40,10,30,70,70,1
75,95,,,5,2,,,1
75,25,0,50,0,50,100,20,1
50,55,80,0,5,33,15,10,0
75,100,99,90,0,1,1,20,1
1,97,100,100,50,10,0,10,1
70,90,50,90,70,0,75,80,0
90,75,90,50,25,0,10,0,0
100,100,100,0,75,10,100,50,0
75,0,0,0,60,50,100,80,1
0,95,98,97,0,0,2,2,1
67,50,57,99,45,50,33,50,1
100,99,100,90,0,0,0,0,0
100,100,0,99,1,0,3,75,0
98,100,100,100,100,0,0,0,1
90,100,90,,85,0,70,,1
100,100,100,100,0,100,10,0,1
99,100,99,100,30,50,10,30,1
60,75,95,99,5,1,5,0,0
100,0,90,99,10,0,10,0,0
75,99,100,0,0,0,0,0,0
10,50,0,0,0,20,100,100,1
100,30,30,100,50,50,90,50,0
20,0,50,0,75,100,50,75,0
75,99,99,100,99,0,0,0,0
100,10,100,100,10,0,0,50,0
50,100,50,50,25,0,20,50,0
10,,,,50,,,,0
100,100,100,100,0,0,0,0,1
98,70,75,90,0,10,10,70,1
100,1,1,,65,99,100,10,0
95,90,50,100,10,0,0,0,0
100,99,100,100,0,2,10,0,0
75,90,95,0,50,90,15,99,0
0,,,,50,,,,0
100,100,100,100,0,99,0,0,1
50,0,10,0,50,5,50,0,0
100,100,100,100,0,0,0,50,1
98,100,100,50,10,50,75,0,1
97,95,95,95,90,20,95,20,1
90,,95,95,90,,0,0,0
100,85,100,90,25,10,10,5,0
70,97,99,99,60,0,0,0,1
99,100,100,99,0,50,5,1,0
5,50,75,50,25,90,25,15,0
100,100,100,,0,0,0,,0
0,0,0,,100,75,60,,0
50,50,50,50,50,50,90,50,1
20,,2,100,23,,50,80,1
75,100,5,100,10,10,6,0,0
0,100,0,100,0,0,,100,1
20,0,100,30,10,0,0,0,0
45,0,0,0,50,100,90,100,1
100,100,5,100,0,7,80,98,1
50,95,50,,75,90,5,,1
100,,,,75,,,,1
100,,99,100,0,,0,90,1
40,90,90,90,60,10,15,50,0
90,75,95,85,10,5,10,10,0
,0,100,0,,0,90,5,1
80,96,95,100,10,2,100,8,0
90,99,40,40,0,5,20,60,0
95,80,75,90,5,5,25,20,0
,50,50,,,10,50,0,0
90,99,99,95,90,10,5,1,1
100,100,100,0,100,10,10,0,0
50,50,100,100,75,33,0,0,0
97,95,0,0,15,10,80,0,0
90,100,100,100,30,50,1,2,0
90,99,100,80,50,50,50,50,1
0,100,88,10,100,0,50,10,1
90,75,0,76,5,25,0,42,0
50,65,50,75,30,30,15,20,0
80,75,75,90,25,25,5,10,0
100,90,100,100,0,0,0,50,1
0,100,0,0,100,100,100,100,1
50,100,100,100,20,50,30,50,1
0,,50,0,0,,25,0,0
100,,100,100,25,100,100,50,1
0,100,100,100,99,2,60,20,1
50,50,100,75,50,50,0,50,1
95,100,100,100,10,50,50,50,1
,100,65,85,,5,10,25,0
9,100,99,100,0,1,1,20,0
95,75,75,80,0,5,5,10,1
99,75,90,90,5,5,15,1,0
80,55,60,60,0,20,5,1,0
25,99,100,96,10,75,70,75,1
50,75,50,40,75,50,75,65,0
50,50,50,50,0,50,50,30,0
0,99,100,0,85,50,50,0,1
100,0,0,100,0,0,0,1,0
0,90,0,100,100,25,0,0,0
0,90,100,99,0,50,90,1,1
99,50,40,45,99,25,50,20,1
0,90,100,,50,0,95,,0
5,50,100,50,50,0,0,0,0
100,100,100,100,0,15,10,0,1
100,98,100,100,100,80,50,50,1
0,0,0,0,50,1,0,50,1
100,100,100,100,0,0,0,0,1
25,0,,,10,0,,,1
0,90,75,,50,5,25,,1
99,100,50,,0,0,0,,0
50,,,0,0,,,0,0
100,80,,100,50,20,,0,0
0,90,,100,100,10,,50,0
50,100,0,0,10,50,100,0,1
100,95,97,60,50,0,0,0,0
80,90,99,75,80,50,50,50,0
0,0,0,100,100,50,100,50,1
75,60,75,90,25,75,0,0,1
0,100,100,95,50,5,0,75,1
100,80,80,,50,0,50,,1
78,0,50,0,87,0,50,0,1
100,0,98,100,15,0,0,0,1
100,85,99,,25,15,99,,0
100,0,100,100,100,100,0,0,1
,50,0,0,89,89,2,12,0
75,80,98,50,10,0,0,25,0
100,100,100,99,25,0,10,1,0
80,99,0,25,30,50,50,0,0
50,95,75,75,25,50,25,50,1
0,100,95,99,0,0,5,0,1
0,0,25,0,25,0,25,50,0
100,80,90,50,60,50,0,0,0
50,50,50,77,25,60,0,15,1
95,100,80,75,1,0,5,1,1
75,100,100,100,1,0,0,0,0
50,30,0,10,0,10,75,0,0
100,15,100,100,0,43,50,50,0
99,90,100,90,5,50,0,10,1
50,50,100,99,50,50,20,50,1
100,90,100,100,100,50,0,0,1
100,99,0,0,60,20,50,90,1
0,0,75,75,0,10,25,48,1
100,100,100,100,5,10,50,10,1
35,0,75,100,15,10,99,5,0
99,0,98,90,0,0,0,0,0
100,100,100,100,1,0,50,0,1
50,0,0,20,25,80,50,60,0
90,90,80,100,98,90,60,98,1
87,88,0,0,60,4,85,85,1
0,0,50,0,0,99,0,20,0
11,,,100,22,,,20,0
0,,,0,0,,,0,1
0,1,1,0,0,1,2,0,1
100,100,100,100,15,2,0,0,1
0,99,98,50,0,20,12,30,1
100,65,50,50,0,10,10,100,0
100,100,50,100,50,50,50,75,1
90,100,100,100,5,100,100,100,1
1,20,99,1,99,80,99,99,0
0,100,0,0,0,0,0,0,0
50,90,50,0,50,50,75,50,1
0,100,100,100,0,0,100,99,0
18,100,10,1,0,20,0,2,1
50,100,0,90,50,100,0,78,1
0,100,100,70,50,50,40,50,1
100,100,0,0,99,100,0,50,0
99,90,,10,0,10,,0,0
25,100,,,90,80,,,0
25,80,0,,75,0,40,,1
100,90,90,97,0,20,10,16,0
100,,90,100,10,,40,0,1
50,50,,0,50,0,,100,0
75,0,,,0,75,,,1
50,,,,75,,,,1
50,0,100,0,50,100,100,100,1
0,0,0,0,85,0,100,100,1
100,100,100,100,50,75,50,50,1
90,100,100,100,10,50,50,50,1
,,0,0,,,0,100,1
75,100,,,50,0,,,1
100,75,80,99,0,25,0,0,1
50,,,,50,,,,1
100,40,0,0,0,50,90,50,0
0,0,100,99,0,0,100,60,1
0,0,0,0,0,0,50,100,1
99,,0,70,0,,100,10,1
99,100,99,100,5,2,5,100,0
100,99,50,1,1,100,0,0,0
100,,,,0,,,,1
100,50,50,0,0,50,0,0,1
60,50,60,50,10,50,60,10,0
0,,0,100,100,,50,10,1
50,,50,100,50,,50,0,1
100,,,,5,,,,0
100,100,85,90,50,30,0,100,0
75,75,50,80,50,50,50,25,1
100,100,100,100,50,0,0,0,0
50,100,50,100,20,0,0,0,1
69,0,100,100,0,50,100,55,0
0,100,0,0,0,0,0,100,0
90,100,100,100,10,0,0,0,1
100,99,100,100,5,1,0,0,1
90,100,90,99,50,90,20,5,0
99,0,0,100,100,0,99,100,0
25,0,90,99,10,0,5,0,0
90,50,75,50,50,50,50,50,1
99,0,100,0,0,100,30,0,1
0,0,100,100,100,100,10,100,0
70,0,0,0,75,0,2,10,0
75,45,40,25,15,0,25,25,0
75,50,50,0,5,10,25,5,0
90,95,90,90,0,2,90,0,0
,100,1,100,,50,1,50,0
50,60,70,90,25,50,40,24,1
100,100,100,,50,0,25,,1
0,0,,,50,100,,,1
70,99,100,,10,50,5,,0
75,50,,,25,10,,,0
50,3,50,0,50,80,50,97,0
50,0,0,0,30,0,90,80,0
99,,80,95,50,,50,50,0
50,100,50,50,50,10,10,0,1
75,90,100,100,10,0,30,50,0
100,90,50,70,50,20,10,5,1
99,0,99,0,1,0,1,0,0
100,50,50,100,10,25,50,0,1
100,,,,50,,,,0
75,0,,100,0,50,,,0
100,100,,100,90,30,,40,1
60,3,0,,40,0,0,,0
100,100,100,100,0,0,0,0,1
100,100,50,100,0,0,100,0,0
90,50,,,50,50,,,0
100,20,0,50,0,25,99,10,0
100,100,100,100,75,50,0,50,0
80,90,100,75,1,0,10,0,0
80,75,50,75,5,0,0,0,0
50,0,45,25,0,0,0,0,0
99,99,50,89,25,0,30,25,1
100,100,0,,0,0,55,,1
99,100,10,90,99,99,70,0,0
80,100,90,90,10,5,0,0,1
100,90,50,80,50,90,50,65,0
100,100,100,0,0,0,0,0,0
100,25,100,100,0,20,,0,0
90,50,25,50,10,10,50,0,1
0,100,75,0,100,20,50,100,0
50,0,0,100,50,0,0,0,0
50,100,0,0,50,0,0,100,1
25,0,0,0,10,100,0,100,1
90,100,100,70,5,50,50,70,1
50,75,100,75,75,75,50,75,0
25,50,99,95,50,50,10,50,0
60,75,99,99,20,25,0,0,0
90,90,100,,10,90,50,,0
60,100,80,,50,50,50,,0
100,100,50,100,50,0,50,50,0
60,80,100,100,0,0,0,0,0
75,45,50,50,25,50,99,0,1
100,99,0,0,6,30,99,99,0
50,99,99,100,50,99,0,100,1
75,50,50,50,0,50,50,50,0
10,100,95,100,50,0,0,50,0
95,90,90,100,5,0,50,0,1
75,50,100,100,0,50,50,0,1
100,100,75,50,5,0,50,0,1
75,0,60,0,1,0,70,80,0
50,65,25,,0,0,0,,0
100,1,100,0,0,1,25,99,1
50,100,100,100,10,50,0,0,1
100,100,100,0,50,0,0,100,1
80,0,99,0,50,50,50,0,1
99,100,100,100,0,0,100,100,1
75,99,95,90,35,80,5,0,1
95,,50,50,40,,50,50,0
85,99,100,100,50,20,100,100,0
90,90,90,90,50,30,90,50,1
90,100,100,100,20,5,1,10,0
10,,100,100,10,,0,50,1
90,80,60,40,90,40,0,60,1
100,100,99,98,90,0,10,1,1
0,100,99,98,80,0,1,10,0
95,100,100,100,10,1,0,15,1
10,,0,50,0,,50,0,0
75,100,100,100,25,50,0,50,1
100,100,100,100,0,,0,0,0
90,98,50,50,25,50,1,2,0
95,98,85,99,12,99,100,70,0
95,100,80,98,50,,99,40,1
0,50,0,0,50,50,0,0,1
1,100,50,0,5,0,0,50,0
100,100,98,98,0,0,0,99,0
0,,,,0,,,,1
100,75,0,0,50,50,0,100,0
50,75,100,100,80,9,50,45,1
0,,,100,0,,,100,0
90,,,,50,,,,0
5,0,0,50,98,100,100,20,1
100,90,0,100,5,2,10,5,1
98,0,99,,75,50,89,,0
30,,,10,75,,,30,0
0,100,0,99,75,75,50,50,0
1,90,,,1,0,,,1
1,100,,,1,0,,,0
95,100,90,100,50,10,10,0,0
75,0,0,0,0,100,25,100,0
50,95,100,100,0,40,80,0,1
100,0,,,30,0,,,0
100,99,99,50,98,1,0,10,0
50,,,,0,,,,0
0,,,,50,,,,1
0,98,100,100,0,0,100,0,0
65,85,85,60,5,35,65,80,0
50,90,0,,0,10,50,,0
95,0,0,75,85,0,0,25,0
90,100,98,100,45,100,99,10,0
5,1,1,65,10,75,75,50,0
0,90,90,90,0,10,10,,0
100,50,20,95,10,5,70,10,1
2,,0,,100,,0,,0
75,20,90,50,0,0,0,0,0
50,100,50,95,50,50,50,50,1
99,50,90,90,25,50,98,80,1
0,0,10,75,0,80,20,50,1
90,70,75,65,10,10,5,35,0
100,100,100,100,0,70,25,80,1
75,50,70,50,0,30,0,0,0
50,75,,,75,0,,,1
85,0,50,50,10,0,50,50,0
100,50,50,50,50,0,60,20,0
2,50,100,,100,50,0,,0
95,10,,20,5,15,,0,0
0,85,95,,0,98,5,,0
75,70,80,50,5,0,5,10,1
95,1,90,90,0,0,0,0,1
100,0,0,75,25,,100,0,0
99,,,,50,,,,1
99,89,95,35,50,0,5,15,0
50,,,,1,,,,1
0,100,,100,0,50,,0,0
100,95,95,97,99,95,1,2,0
90,95,90,95,50,85,5,0,1
75,,90,,0,,30,,1
90,,,,10,,,,1
50,0,0,0,0,20,100,100,0
98,99,95,98,5,90,20,40,1
3,50,82,75,95,75,0,12,1
5,25,0,50,90,10,0,50,0
0,97,97,99,95,99,0,0,1
95,0,100,100,5,0,0,0,1
25,95,100,70,25,10,35,10,1
95,95,99,80,10,95,50,85,0
99,85,90,90,15,0,1,0,0
99,99,100,100,99,99,10,10,1
0,,100,90,2,,30,10,1
90,50,75,60,10,80,5,1,0
0,100,100,98,0,0,25,8,0
90,70,98,80,50,50,60,30,1
90,95,60,80,50,60,20,95,1
100,0,100,100,15,0,50,0,1
100,100,85,0,90,10,80,50,0
99,99,100,99,75,15,25,10,1
95,,90,100,75,,20,5,1
45,75,90,50,50,25,89,24,0
0,10,90,100,0,0,20,0,1
0,100,,,50,75,,,1
0,0,,,0,100,,,1
10,99,95,90,75,5,5,5,1
100,100,100,0,0,0,100,100,0
,,100,3,,,100,1,0
0,,100,100,0,,0,1,0
0,100,100,0,0,0,0,98,0
100,50,100,,20,50,50,,0
100,0,0,,50,20,50,,1
100,100,100,100,100,,,100,0
75,0,95,95,50,50,75,80,1
0,100,100,0,0,0,100,70,1
,100,100,100,,1,50,0,1
50,50,50,,60,75,60,,0
100,0,100,100,50,100,50,50,0
100,50,20,,3,0,10,,0
98,0,100,99,4,0,99,90,1
0,0,5,5,2,0,3,60,1
100,0,100,100,25,50,20,0,1
100,99,100,,0,0,0,,0
97,100,100,100,4,0,0,50,1
90,90,,70,10,50,,40,1
0,0,0,100,50,0,0,50,1
1,30,100,99,99,0,10,50,1
99,50,99,50,45,0,70,50,0
100,90,50,100,25,90,50,0,1
50,100,70,75,5,0,75,10,0
50,,100,,35,,100,,0
100,9,100,100,100,0,0,0,0
0,0,100,,50,50,50,,0
75,94,99,95,50,4,1,1,0
0,50,40,,0,0,40,,1
0,0,100,,0,50,50,,0
0,0,50,20,90,100,20,20,1
,0,0,0,0,,0,0,0
75,100,,97,10,,100,1,0
90,0,0,,0,0,,,0
0,10,0,0,20,40,100,80,1
75,75,50,75,50,75,22,50,1
100,99,0,0,1,0,90,0,0
100,99,99,100,0,0,0,0,0
98,100,90,,34,0,0,,1
90,100,50,50,15,50,50,30,1
100,0,70,50,90,0,0,0,0
55,100,0,80,70,80,100,99,1
56,35,75,50,35,35,15,35,0
90,100,100,100,0,0,0,0,0
0,98,99,98,10,50,20,0,0
97,99,90,75,30,20,20,75,0
1,50,50,0,20,50,40,50,1
0,98,0,0,100,98,100,100,1
0,0,50,0,50,0,95,75,0
,,50,,,,50,,1
90,,,,5,,,,0
50,100,,50,10,0,,50,1
80,,90,65,40,,30,35,0
75,,75,90,10,,5,2,1
100,95,89,99,96,15,50,2,1
100,95,75,75,50,15,15,25,1
75,,60,,50,,0,,0
100,100,100,0,90,30,0,0,0
80,80,0,100,20,10,0,0,0
0,99,75,30,60,70,45,60,0
85,75,95,,75,80,50,,0
75,80,76,80,45,15,65,10,1
60,96,80,98,50,40,20,60,0
30,50,51,60,2,0,85,80,0
100,75,100,100,1,0,50,0,1
50,50,50,0,50,50,50,50,0
0,0,100,,0,0,0,,0
100,100,100,100,50,0,0,0,1
5,0,0,,100,1,0,,1
0,0,99,,75,20,0,,0
100,0,100,50,0,0,0,0,0
0,2,0,0,3,1,50,100,0
99,0,40,,100,9,75,,0
75,75,70,75,0,0,0,20,1
0,0,100,0,2,50,0,0,0
100,100,0,50,10,50,50,50,0
1,0,0,100,1,1,0,100,0
0,1,1,1,1,0,1,1,0
0,0,50,50,50,0,0,0,0
60,0,100,100,50,0,20,40,0
0,0,95,100,0,0,0,50,1
100,100,100,0,90,0,0,100,0
0,0,,,0,99,,,0
0,100,99,,10,0,0,,1
75,,,,50,,,,1
45,,,,79,,,,1
100,100,,,90,100,,,1
85,100,75,65,30,100,0,0,0
90,100,95,90,10,100,7,15,0
100,100,85,85,1,100,10,10,0
0,100,90,100,0,70,50,60,0
100,100,99,20,10,40,50,80,1
100,,0,,70,,100,,1
75,100,99,0,10,0,10,10,1
100,100,100,90,99,0,95,50,1
100,75,50,0,0,0,25,0,0
0,80,0,45,0,80,25,25,0
100,0,100,0,0,0,50,0,1
0,0,100,100,0,0,50,0,0
0,0,50,100,10,0,0,100,0
0,0,80,100,100,50,25,25,1
50,15,85,80,12,50,10,20,1
100,99,85,100,50,99,5,0,0
0,100,100,100,0,10,0,0,0
75,97,50,15,0,6,0,50,0
100,1,,,50,50,,,0
15,99,99,50,10,0,1,5,0
100,95,90,90,20,20,40,50,1
50,50,75,50,1,25,25,25,0
99,95,0,0,25,10,20,50,0
50,,0,0,25,90,50,0,0
0,0,0,100,10,25,0,25,1
50,50,80,100,0,10,,0,0
100,100,100,0,0,0,80,100,0
0,75,95,50,10,0,15,,0
100,100,50,100,25,50,50,0,1
90,100,0,0,100,0,50,100,0
50,100,100,100,90,50,50,0,0
100,75,100,0,3,50,0,,1
,4,99,100,,50,5,2,0
100,100,100,100,100,0,0,0,1
50,0,50,50,25,50,50,50,0
0,0,100,50,50,50,0,0,1
0,50,50,50,,,80,85,0
100,,,,0,,,,0
80,,,,0,,,,0
50,95,100,100,5,0,0,0,1
0,0,,,0,20,,,1
20,100,75,,85,100,10,,1
0,100,100,100,0,,0,1,1
100,75,100,100,0,50,0,80,0
50,50,95,99,35,50,10,50,1
95,100,100,100,75,50,50,50,1
50,50,75,80,25,70,35,20,1
100,0,100,100,0,0,100,0,0
0,0,0,0,0,50,100,4,1
97,100,99,90,25,1,20,40,1
