id,a13,a14,a15,a16,a17,a18,a19,a20,gen,race,income,birth_year,age
104,,,,,100,99,80,90,1,0,10.7213689208747,1980,17
105,,50,90,90,90,,,,0,0,10.7712087159129,1983,14
106,,,,90,0,1,1,,0,0,11.2015921479944,1981,16
107,,,100,90,1,99,,,1,0,10.3590372786354,1982,15
108,95,75,40,98,,,,,0,0,9.49325483345389,1984,13
109,,,100,100,100,0,,,1,0,10.2096315788837,1982,15
110,90,1,50,40,,,,,1,0,10.2672736492462,1984,13
111,,,,100,100,50,0,,1,0,10.7163887247292,1981,16
112,,,,80,,,,,1,0,9.54633075702557,1984,13
113,98,95,50,75,,,,,0,0,9.85278122195067,1984,13
114,,,75,75,100,100,,,1,0,10.2627658958112,1982,15
115,0,20,1,1,,,,,1,1,10.6364309179699,1984,13
116,85,0,100,,,,,,0,1,9.58611659029803,1984,13
117,0,0,0,,,,,,0,1,9.66059321074185,1984,13
118,,,,,80,,,80,0,0,10.9069053320831,1980,17
119,,,100,,,,,,0,0,10.4131809001152,1982,15
120,,,1,,,,,,0,0,10.1675711182924,1982,15
121,,,,100,90,80,100,,0,0,10.4417402777289,1981,16
122,100,100,75,100,,,,,0,0,9.8404137952276,1984,13
123,,,,,25,,,,0,0,10.0358254728428,1980,17
124,,,50,,,,,,0,0,10.4836522062152,1982,15
125,100,,100,,,,,,1,0,8.92020209425302,1984,13
126,,,,1,50,0,50,,0,0,10.797723074238,1981,16
127,,,98,100,10,0,,,1,0,10.1984843582064,1982,15
128,,,100,90,,100,,,1,0,10.2927063728241,1982,15
129,,,,,99,50,70,20,1,0,9.74135754469189,1980,17
130,,,,80,50,99,99,,1,0,10.1989883577988,1981,16
131,,,,,100,75,75,,0,0,9.5734916573212,1980,17
132,,99,99,100,99,,,,0,0,9.61255802627675,1983,14
133,,,85,,90,,,,0,0,10.7098143444841,1982,15
134,85,50,100,0,,,,,0,0,10.1769923990997,1984,13
135,,,,90,50,,80,,0,0,10.6559819210895,1981,16
136,,95,,50,100,,,,1,0,9.72490469860059,1983,14
137,,,,,100,100,100,100,1,0,10.2831368696019,1980,17
138,0,100,69,0,,,,,0,0,9.80883279956561,1984,13
139,90,95,95,92,,,,,1,0,8.61065914217064,1984,13
140,,100,100,,,,,,0,1,10.3541792379312,1983,14
141,,,,,100,,100,,1,0,9.74189511506697,1980,17
142,,,,50,100,99,100,,1,0,10.4041411213063,1981,16
143,,,,0,10,40,0,,0,1,10.6315696843905,1981,16
144,,,85,60,,20,,,0,1,10.0929368637617,1982,15
145,50,75,50,50,,,,,0,1,10.2701598818351,1984,13
146,56,20,0,,,,,,0,1,9.82565952809577,1984,13
147,25,0,1,0,,,,,1,0,7.41356496309929,1984,13
148,,,100,100,100,100,,,1,1,8.92117351607461,1982,15
149,,75,20,40,40,,,,1,1,8.95150432059024,1983,14
150,0,0,0,30,,,,,0,1,8.18773957355258,1984,13
151,,,100,0,100,100,,,1,1,10.4327758289552,1982,15
152,,,0,0,99,0,,,0,1,9.74021909797162,1982,15
153,,,,,0,0,0,0,1,1,9.42120338918233,1980,17
154,,,,,75,0,,,0,0,8.99754359413557,1980,17
155,,,,,75,25,70,50,0,0,11.1940021644099,1980,17
156,,,100,0,75,50,,,0,0,10.0225750024065,1982,15
157,,,100,0,0,0,,,1,1,10.1117538971955,1982,15
158,100,100,50,50,,,,,0,1,9.50148273360702,1984,13
159,,,,,99,0,2,0,1,1,9.74445355711821,1980,17
160,,,,0,0,,,,1,1,9.85171591018856,1981,16
161,,,3,30,30,100,,,0,1,10.1583908557939,1982,15
162,,,,100,,,50,,1,1,10.3270642216954,1981,16
163,,50,,,0,,,,0,1,8.74138344062503,1983,14
164,,,,0,0,90,75,,1,0,10.5499197749133,1981,16
165,,,,,100,0,0,0,0,0,11.0060109363723,1980,17
166,,,99,100,99,100,,,1,0,9.522318057503,1982,15
167,0,,,100,,,,,0,1,7.90103339465585,1984,13
168,,,,0,0,100,0,,0,1,10.3568910035554,1981,16
169,,0,100,100,,,,,1,0,8.72035652800734,1983,14
170,100,90,90,95,,,,,1,0,9.57022863506586,1984,13
171,50,100,100,95,,,,,1,1,9.45142496773742,1984,13
172,,100,100,,,,,,0,0,11.216051156698,1983,14
173,,,,,50,100,,,1,0,10.3164288949992,1980,17
174,,5,0,0,,,,,0,0,10.0790495612771,1983,14
175,,,,90,95,80,100,,1,0,10.0494263875636,1981,16
176,,,90,100,90,85,,,0,0,10.2801077900502,1982,15
177,,,,,90,75,70,50,1,0,10.3544460328854,1980,17
178,,,,,90,,0,,1,0,10.4098410586868,1980,17
179,,,,95,50,50,,,1,0,10.1897674176079,1981,16
180,,100,100,100,,,,,0,0,9.96363945050888,1983,14
181,,,80,,50,50,,,1,0,10.0104630656033,1982,15
182,88,0,0,,,,,,1,0,11.027659191726,1984,13
183,,,,,0,0,0,40,1,0,9.66319364137075,1980,17
184,45,50,45,70,,,,,0,0,10.4404329857466,1984,13
