id,a13,a14,a15,a16,a17,a18,a19,a20,gen,race,income,birth_year,age
2484,,0,100,50,0,,,,0,0,8.93372506412299,1983,14
2485,,97,15,100,90,,,,0,0,10.442379214812,1983,14
2486,,,,,0,0,0,0,1,0,10.2611992633413,1980,17
2487,,,50,0,0,,,,0,0,8.36167951296694,1982,15
2488,90,100,1,,,,,,1,0,9.72956643939993,1984,13
2489,,,,,100,45,95,0,1,0,10.197516829383,1980,17
2490,,99,100,100,100,,,,0,0,10.0158108402696,1983,14
2491,0,100,20,50,,,,,1,0,9.43715403856588,1984,13
2492,,,,,100,80,75,,0,0,10.3774332658974,1980,17
2493,,,75,99,100,100,,,1,0,10.4587905149538,1982,15
2494,100,55,50,50,,,,,1,0,10.6103079763563,1984,13
2495,,,,,98,,100,99,1,0,11.0867983157871,1980,17
2496,,,,,5,15,,,0,0,10.1907019487337,1982,15
2497,,50,35,99,25,,,,0,0,9.91587325890665,1983,14
2498,,,,,100,100,100,100,0,0,10.699933768821,1980,17
2499,,,,60,100,100,0,,0,0,9.24578251422547,1981,16
2500,,45,0,100,100,,,,0,0,10.3152606921381,1983,14
2501,,10,50,100,99,,,,1,1,9.36538419658671,1983,14
2502,,,90,,50,,,,1,0,7.2190264386426,1982,15
2503,,,,,50,100,100,100,0,0,9.84515103392805,1980,17
2504,90,50,75,100,,,,,1,0,9.30978178570773,1984,13
2505,,,90,100,100,100,,,1,0,9.47588703696387,1982,15
2506,99,100,100,100,,,,,0,0,9.94238342472845,1984,13
2507,0,50,90,50,,,,,0,0,10.2935060831596,1984,13
2508,,,99,50,100,70,,,0,0,10.0852834159484,1982,15
2509,,,,,0,100,100,100,1,0,6.67386623069474,1980,17
2510,,99,100,100,100,,,,1,0,9.91783779751979,1983,14
2511,,,,,100,100,100,50,0,0,10.3731994007173,1980,17
2512,,,,100,50,0,0,,1,0,9.1830143505328,1981,16
2513,,,,,95,,100,50,0,0,10.5601808455864,1980,17
2514,,,,75,,,,,0,0,10.2248175496849,1981,16
2515,,57,99,97,100,,,,0,0,10.2748505425044,1983,14
2516,,,,100,99,,0,,0,0,10.2240654159672,1981,16
2517,30,75,95,35,,,,,0,0,10.4715447630785,1984,13
2518,,,,100,50,50,0,,1,0,9.55006229219205,1981,16
2519,,,,75,0,75,100,,0,0,10.5151061355572,1981,16
2520,,,,50,100,,0,,0,0,10.4384708112046,1981,16
2521,,50,50,65,70,,,,1,0,9.98016065713447,1983,14
2522,,,,0,0,5,5,,0,0,7.67382625210345,1981,16
2523,75,99,99,99,,,,,0,0,9.33984852835273,1984,13
2524,,,50,20,70,50,,,0,0,9.9984537950234,1982,15
2525,0,0,100,50,,,,,0,0,6.85678538716553,1984,13
2526,,,,10,90,80,50,,0,0,8.38229621241336,1981,16
2527,,,85,75,75,90,,,0,0,9.91852970148203,1982,15
2528,,,,0,0,100,100,,1,0,10.0871014829128,1981,16
2529,,,,100,100,100,0,,1,0,10.4336850959483,1981,16
2530,,,,,100,100,90,100,0,0,10.213306039347,1980,17
2531,,,1,80,50,80,,,1,0,9.86786068425485,1982,15
2532,,,,,99,0,,,1,0,10.708764268164,1980,17
2533,,,55,10,50,50,,,0,0,10.58245037848,1982,15
2534,,90,0,50,0,,,,0,0,9.8877028188224,1983,14
2535,,,,99,50,,75,,0,0,10.4027688210403,1981,16
2536,,,,0,85,,,,0,0,10.1877514734268,1981,16
2537,,85,75,75,75,,,,0,0,10.2144048119048,1983,14
2538,,,,,0,0,100,99,1,0,9.05211969251478,1980,17
2539,,50,,,75,,,,1,0,10.1120363732818,1983,14
2540,,,0,,0,,,,1,0,10.690607019045,1982,15
2541,100,100,100,,,,,,0,0,9.69090309348602,1984,13
2542,,,,99,,25,,,0,0,10.9231830650732,1981,16
2543,,,,,100,100,,90,1,0,9.44550352692183,1980,17
2544,,0,90,98,80,,,,1,0,10.2625106021542,1983,14
2545,,,,100,0,0,100,,0,0,10.7141756045376,1981,16
2546,,,,65,75,75,75,,0,0,10.4109195210522,1981,16
2547,,,,95,0,80,0,,1,0,9.58569350790918,1981,16
2548,99,75,99,100,,,,,0,0,9.98467753323799,1984,13
2549,,100,100,,0,,,,1,0,9.99711766816325,1983,14
2550,,100,,,99,,,,1,0,9.77035257714641,1983,14
2551,,,,5,95,70,5,,1,0,10.2732206062954,1981,16
2552,95,95,100,100,,,,,0,0,10.2189704814594,1984,13
2553,,,,,75,100,100,100,1,0,9.42504435632592,1980,17
2554,,,,100,90,90,99,,1,0,8.69607582058668,1981,16
2555,,,,0,0,0,0,,1,0,10.5314830219324,1981,16
2556,,,,,75,100,100,0,1,1,10.0849015823672,1980,17
2557,100,75,95,75,,,,,1,0,8.8319386788833,1984,13
2558,,,,10,0,95,90,,0,0,9.66985833076125,1981,16
2559,,90,50,100,100,,,,1,0,9.50091825319095,1983,14
2560,,,,,0,0,0,,0,0,10.6597368636893,1980,17
2561,,,,,50,100,0,100,1,0,9.60592607950951,1980,17
2562,,50,100,100,100,,,,0,0,10.1712381115891,1983,14
2563,,50,100,100,100,,,,0,0,9.84917714365564,1983,14
2564,50,99,75,95,,,,,0,0,10.4575320222389,1984,13
2565,,,,95,99,99,99,,1,0,10.4912273082403,1981,16
2566,99,50,99,100,,,,,0,0,9.85639125637912,1984,13
2567,,,,,98,0,0,0,1,0,9.70173995825079,1980,17
2568,,,,,90,50,100,100,0,0,10.1224734736178,1980,17
2569,,,80,90,90,90,,,0,0,9.8156637073538,1982,15
2570,,,,50,100,100,100,,1,0,10.3744045450759,1981,16
2571,0,90,0,0,,,,,1,0,9.99754126713523,1984,13
2572,,,0,100,80,90,,,1,0,10.2096076163751,1982,15
2573,,0,90,90,100,,,,0,0,10.3947303947988,1983,14
2574,,,,50,100,98,90,,0,0,10.5335517030646,1981,16
2575,,,,0,50,96,70,,0,0,9.05634686466625,1981,16
2576,,98,100,9,1,,,,0,0,9.36988581436678,1983,14
2577,,,,,50,90,5,100,1,0,9.54227944408885,1980,17
2578,,,,,100,100,75,,0,0,9.44108519810823,1980,17
2579,,,,,95,100,99,100,1,0,10.2668991046829,1980,17
2580,,,75,95,99,98,,,1,0,10.2290593230752,1982,15
2581,,0,0,98,75,,,,0,0,9.59744172344172,1983,14
2582,,,50,95,100,100,,,1,0,10.036809560994,1982,15
2583,,,65,100,0,0,,,1,0,9.77814352374621,1982,15
2584,,85,0,80,94,,,,0,0,9.60278188177258,1983,14
2585,,,,,,,,,0,0,9.13622407182939,1980,17
2586,0,50,0,0,,,,,1,0,9.41448269309064,1984,13
2587,,0,10,0,100,,,,1,0,8.96371850268799,1983,14
2588,,0,0,0,,,,,1,0,10.3880303515181,1983,14
2589,,,1,,,,,,0,0,9.96269666045297,1982,15
2590,,,,100,,100,100,,1,0,3.57433470760323,1981,16
2591,,,,,99,98,,,0,0,10.1918234953203,1981,16
2592,,,,0,85,70,90,,1,0,10.5827095440946,1981,16
2593,100,100,100,100,,,,,0,0,9.73038633739504,1984,13
2594,,50,80,75,99,,,,0,0,9.11738571838086,1983,14
2595,,,,,75,0,100,0,0,0,9.55768337049645,1980,17
2596,,,,,75,90,99,25,0,0,9.97776394111664,1980,17
2597,,0,99,50,50,,,,0,0,10.4491630179447,1983,14
2598,,,,90,100,0,85,,0,0,10.9726171605732,1981,16
2599,,,,100,0,0,0,,1,0,9.86203078108388,1981,16
2600,,,50,0,100,75,,,1,0,9.38059638988531,1982,15
2601,,,,100,99,0,100,,1,0,9.51706285043272,1981,16
2602,,,80,99,85,75,,,0,1,9.40647284494319,1982,15
2603,,88,50,75,95,,,,0,0,9.47091683992961,1983,14
2604,,,0,60,1,,,,0,0,9.40395130871566,1983,14
2605,,90,98,95,56,,,,0,0,10.8608856345432,1983,14
2606,,,,,15,5,,,0,0,9.56130136153578,1980,17
2607,,,,99,100,100,0,,1,0,10.0207498049924,1981,16
2608,80,100,100,100,,,,,0,0,10.0500958008998,1984,13
2609,,,0,0,100,100,,,0,0,10.2353868170902,1982,15
2610,,,100,100,99,100,,,1,0,10.0042180822319,1982,15
2611,,,,99,50,0,0,,0,0,9.14902388182533,1981,16
2612,50,5,0,0,,,,,1,0,8.72029376099495,1984,13
2613,,,,100,75,100,50,,0,0,10.4604742577504,1981,16
2614,,100,75,100,90,,,,0,0,9.62724022164477,1983,14
2615,,,,100,99,100,99,,0,0,10.194742813746,1981,16
2616,,,,75,90,75,50,,0,0,10.6466941956561,1981,16
2617,75,0,90,99,,,,,1,0,10.0834374022566,1984,13
2618,,100,99,100,100,,,,0,0,9.59572895671575,1983,14
2619,,,,99,100,99,0,,1,0,8.99696634775302,1981,16
2620,,,,99,50,80,,,1,0,9.0163707005762,1981,16
2621,,0,98,99,0,,,,1,0,9.32792464436622,1983,14
2622,,,,25,80,50,50,,0,0,10.2230450307594,1981,16
2623,3,0,60,0,,,,,0,0,9.96240789290641,1984,13
2624,,,,75,25,90,95,,0,0,10.285173586126,1981,16
2625,,,,,0,100,0,100,1,0,9.2758079810691,1980,17
2626,,,,90,85,99,100,,1,0,9.95219598124597,1981,16
2627,,,0,0,50,60,,,0,0,10.2065801823104,1982,15
2628,,,95,80,,99,,,0,0,9.84038201523414,1982,15
2629,,,90,50,75,50,,,0,0,10.7867011933213,1982,15
2630,,,90,75,50,72,,,0,0,10.2668871373865,1982,15
2631,100,60,90,50,,,,,0,0,10.3125597425654,1984,13
2632,,50,50,100,100,,,,1,0,7.92266360695785,1983,14
2633,,75,,,,,,,0,0,9.65678325066226,1983,14
2634,,,,,75,100,100,0,1,0,10.4253460844934,1980,17
2635,,,100,100,100,,,,1,0,9.31487922662234,1982,15
2636,0,95,0,0,,,,,1,0,9.17009516066264,1984,13
2637,,,,75,80,75,80,,0,0,10.5431454448478,1981,16
2638,,,,,0,0,100,100,1,0,10.4112516436647,1980,17
2639,,,,,99,100,50,100,1,0,10.2168234029946,1980,17
2640,100,95,95,75,,,,,1,0,9.76096765518158,1984,13
2641,,,,,90,99,95,,0,0,9.61100472113858,1981,16
2642,,,95,95,99,0,,,1,0,10.0310775718579,1982,15
2643,,,75,100,0,100,,,0,0,9.17737259921681,1982,15
2644,0,100,100,99,,,,,0,0,10.1532900405988,1984,13
2645,50,75,15,65,,,,,1,1,9.17292059902326,1984,13
2648,,,100,100,20,0,,,0,0,9.25221345156143,1982,15
2649,100,0,100,100,,,,,0,0,8.72231909570968,1984,13
2650,70,90,70,100,,,,,1,0,10.1084343710078,1984,13
2651,,100,50,25,100,,,,0,0,8.40231927306669,1983,14
2652,,50,30,33,20,,,,0,0,9.19574504834379,1983,14
2653,,,,,0,0,0,100,1,0,8.6870772632395,1980,17
2654,,90,100,99,100,,,,1,0,9.05522946090483,1983,14
2655,0,0,90,85,,,,,1,0,10.0902716227136,1984,13
2656,,,,100,100,90,100,,1,0,8.8612117210198,1981,16
2657,,,100,89,6,90,,,1,0,8.56542473088869,1982,15
2658,,,,30,0,0,0,,0,0,10.4840276965217,1981,16
2659,,,,90,100,100,100,,1,0,9.96307237659205,1981,16
2660,,,,,100,100,100,100,0,0,9.75125371780497,1980,17
2661,,,100,100,100,100,,,0,0,10.3159833525784,1982,15
2662,,,0,80,50,50,,,0,0,10.4721439529351,1982,15
2663,,,,45,75,100,50,,1,0,10.2391828846184,1981,16
2664,,,,65,75,90,66,,1,0,10.2358296456621,1981,16
2665,,90,99,95,99,,,,0,0,9.67510895793844,1983,14
2666,,100,0,100,100,,,,0,0,9.93696919903738,1983,14
2667,0,100,100,70,,,,,1,0,7.63032480118248,1984,13
2668,,,,,35,50,85,75,0,0,9.71587924724025,1980,17
2669,,,,90,0,50,100,,1,0,10.0114346630269,1981,16
2670,,90,80,40,40,,,,1,0,10.2292810486591,1983,14
2671,,,,,75,95,,,1,0,9.56589890788958,1980,17
2672,,,,,75,25,0,50,1,0,10.6804520651147,1980,17
2673,,50,55,80,0,,,,0,0,10.2676761915117,1983,14
2674,,,75,100,99,90,,,1,0,9.49968990462198,1982,15
2675,1,97,100,100,,,,,1,0,8.70290073615833,1984,13
2676,70,90,50,90,,,,,0,0,9.54401453474756,1984,13
2677,,,90,75,90,50,,,0,0,10.4745423538362,1982,15
2678,100,100,100,0,,,,,0,0,9.16237636943191,1984,13
2679,,,,,75,0,0,0,1,0,8.68597508696,1980,17
2680,,,,0,95,98,97,,1,0,10.5161970564784,1981,16
2681,,,,67,50,57,99,,1,0,9.60838054247244,1981,16
2682,,100,99,100,90,,,,0,1,8.94573423401229,1983,14
2683,,100,100,0,99,,,,0,1,10.130601968759,1983,14
2684,,,98,100,100,100,,,1,0,7.97022559723174,1982,15
2685,,,,,90,100,90,,1,0,9.60824866493933,1980,17
2686,,100,100,100,100,,,,1,0,9.42086330166983,1983,14
2687,,99,100,99,100,,,,1,0,10.337024251807,1983,14
2688,,,,,60,75,95,99,0,0,8.92567912802267,1980,17
2689,,,100,0,90,99,,,0,0,10.4300270627364,1982,15
2690,,75,99,100,0,,,,0,0,10.1669969789268,1983,14
2691,,,10,50,0,0,,,1,0,9.6894071725608,1982,15
2692,,,,,100,30,30,100,0,0,10.7951163208147,1980,17
2693,,,,20,0,50,0,,0,0,10.6548918295673,1981,16
2694,,,,,75,99,99,100,0,0,9.87792617448241,1980,17
2695,,,,100,10,100,100,,0,0,11.0733726697665,1981,16
2696,,50,100,50,50,,,,0,0,10.3949342211943,1983,14
2697,,,,,10,,,,0,0,10.3771252897277,1980,17
2698,,,,100,100,100,100,,1,0,10.3352319127195,1981,16
2699,,,98,70,75,90,,,1,0,7.74525574137866,1982,15
2700,100,1,1,,,,,,0,0,9.46862317612422,1984,13
2701,,,,,95,90,50,100,0,0,10.4357818533895,1980,17
2702,,100,99,100,100,,,,0,0,8.92068116612786,1983,14
2703,,,,,75,90,95,0,0,0,10.4306636048362,1980,17
2704,,,,,0,,,,0,0,10.3727311058912,1980,17
2705,,,,,100,100,100,100,1,0,9.3287375341588,1980,17
2706,,,50,0,10,0,,,0,0,8.91953717097897,1982,15
2707,,100,100,100,100,,,,1,0,8.66819641276414,1983,14
2708,98,100,100,50,,,,,1,0,9.12992538332412,1984,13
2709,,,,97,95,95,95,,1,0,10.3720306622511,1981,16
2710,,90,,95,95,,,,0,0,10.1090798760156,1983,14
2711,,100,85,100,90,,,,0,0,10.965124967932,1983,14
2712,,70,97,99,99,,,,1,0,6.44084870921044,1983,14
2713,99,100,100,99,,,,,0,0,9.76929094249188,1984,13
2714,5,50,75,50,,,,,0,0,9.11452221897028,1984,13
2715,,,,100,100,100,,,0,0,9.93098606916183,1981,16
2716,,0,0,0,,,,,0,1,10.3215032381564,1983,14
2717,,,,,50,50,50,50,1,1,7.70773310935271,1980,17
2718,,20,,2,100,,,,1,1,7.50050118007717,1983,14
2719,75,100,5,100,,,,,0,1,9.63817484933552,1984,13
2720,,,,,0,100,0,100,1,1,9.08026442679792,1980,17
2721,,,20,0,100,30,,,0,1,8.88449071465427,1982,15
2722,,,,45,0,0,0,,1,1,10.7954635400039,1981,16
2723,100,100,5,100,,,,,1,1,9.15211933278868,1984,13
2724,,,50,95,50,,,,1,1,9.95671334846232,1982,15
2725,,,100,,,,,,1,0,9.39822311779792,1982,15
2726,,,,100,,99,100,,1,0,9.01307126600417,1981,16
2727,,,40,90,90,90,,,0,1,9.43925334563499,1982,15
2728,90,75,95,85,,,,,0,0,9.33240719428525,1984,13
2729,,,,,,0,100,0,1,0,9.37320195025368,1980,17
2730,,,,,80,96,95,100,0,0,10.4500547615674,1980,17
2731,,,90,99,40,40,,,0,0,10.5465810220386,1982,15
2732,,95,80,75,90,,,,0,0,10.3458017156751,1983,14
2733,,,,50,50,,,,0,0,10.1104605336446,1982,15
2734,,90,99,99,95,,,,1,0,9.30434516594348,1983,14
2735,100,100,100,0,,,,,0,1,9.50120335656943,1984,13
2736,50,50,100,100,,,,,0,0,9.39944859539042,1984,13
2737,,,,97,95,0,0,,0,0,9.96751196954494,1981,16
2738,,,90,100,100,100,,,0,0,10.018383284443,1982,15
2739,,,,,90,99,100,80,1,0,10.3919622900081,1980,17
2740,,,,,0,100,88,10,1,0,9.64269240208226,1980,17
2741,,,,90,75,0,76,,0,0,10.3457789902371,1981,16
2742,,,,50,65,50,75,,0,0,10.4331473725057,1981,16
2743,,,,80,75,75,90,,0,0,10.1941881843764,1981,16
2744,,,,,100,90,100,100,1,0,10.1545529436199,1980,17
2745,0,100,0,0,,,,,1,0,9.45867712423901,1984,13
2746,,50,100,100,100,,,,1,1,8.90612346205891,1983,14
2747,,,,,0,,50,0,0,0,10.2660417124092,1980,17
2748,100,,100,100,,,,,1,0,9.55898672649737,1984,13
2749,,,,,0,100,100,100,1,0,9.95333819044454,1980,17
2750,,,,50,50,100,75,,1,0,9.85671791498247,1981,16
2751,95,100,100,100,,,,,1,0,9.84836512832754,1984,13
2752,,,,,100,65,85,,0,0,9.71507655980747,1981,16
2753,,,9,100,99,100,,,0,0,10.6167711492317,1982,15
2754,,,95,75,75,80,,,1,0,10.0706483596117,1982,15
2755,99,75,90,90,,,,,0,0,10.113677121998,1984,13
2756,,80,55,60,60,,,,0,0,9.3983715930949,1983,14
2757,25,99,100,96,,,,,1,0,8.87929377723468,1984,13
2758,,,,,50,75,50,40,0,0,10.7617312052033,1980,17
2759,,,50,50,50,50,,,0,0,8.92816977845945,1982,15
2760,,,,0,99,100,0,,1,0,8.75430487579979,1981,16
2761,,,100,0,0,100,,,0,0,10.3155521794559,1982,15
2762,,,,0,90,0,100,,0,0,10.3082414158226,1981,16
2763,0,90,100,99,,,,,1,0,9.77642975991444,1984,13
2764,99,50,40,45,,,,,1,1,9.76282492689634,1984,13
2765,,,0,90,100,,,,0,0,10.3537792874429,1982,15
2766,,5,50,100,50,,,,0,0,9.55684480730788,1983,14
2767,,,,,100,100,100,100,1,0,10.1228753597659,1980,17
2768,,,100,98,100,100,,,1,0,9.87959746264815,1982,15
2769,,,,0,0,0,0,,1,0,9.55055384765186,1981,16
2770,,,,,100,100,100,100,1,0,10.4710079204282,1980,17
2771,,,,,25,0,,,1,0,8.53695742873044,1980,17
2772,,,0,90,75,,,,1,0,10.6466421650803,1982,15
2773,,,,99,100,50,,,0,0,9.7796525681359,1981,16
2774,,50,,,0,,,,0,0,9.29066761938096,1983,14
2775,,,100,80,,100,,,0,0,9.50544253431862,1982,15
2776,0,90,,100,,,,,0,0,9.95517256698388,1984,13
2777,,,,50,100,0,0,,1,0,9.84592454607631,1981,16
2778,,100,95,97,60,,,,0,0,9.97870302852617,1983,14
2779,,,,80,90,99,75,,0,0,10.0097559749527,1981,16
2780,0,0,0,100,,,,,1,0,9.84982590415233,1984,13
2781,,,,,75,60,75,90,1,0,10.5763806881688,1980,17
2782,,,,,0,100,100,95,1,0,9.8096233895724,1980,17
2783,,,,,100,80,80,,1,0,7.98113787819789,1980,17
2784,,,,,78,0,50,0,1,0,10.3894652186169,1980,17
2785,,100,0,98,100,,,,1,0,10.0810648050019,1983,14
2786,,100,85,99,,,,,0,0,10.4541744011065,1983,14
2787,,,,100,0,100,100,,1,0,8.74771637967933,1981,16
2788,,,50,0,0,,,,0,0,10.0652047510218,1983,14
2789,,,75,80,98,50,,,0,0,10.28444058859,1982,15
2790,,,,,100,100,100,99,0,0,11.5048450502402,1980,17
2791,,,80,99,0,25,,,0,0,10.7731245213415,1982,15
2792,50,95,75,75,,,,,1,0,9.07258503540545,1984,13
2793,,0,100,95,99,,,,1,0,9.96727346838212,1983,14
2794,,,,0,0,25,0,,0,0,10.5586547714981,1981,16
2795,,,,100,80,90,50,,0,0,10.1157594354181,1981,16
2796,50,50,50,77,,,,,1,0,9.72181413938853,1984,13
2797,,,,,95,100,80,75,1,0,9.98186187919034,1980,17
2798,,75,100,100,100,,,,0,0,9.50574749309512,1983,14
2799,,,,,50,30,0,10,0,1,8.00642241476701,1980,17
2800,,,,100,15,100,100,,0,1,9.13320737600116,1981,16
2801,,99,90,100,90,,,,1,0,9.36112284730872,1983,14
2802,,,50,50,100,99,,,1,0,10.2624858532711,1982,15
2803,,,,,100,90,100,100,1,0,9.7336362849855,1980,17
2804,,,100,99,0,0,,,1,0,10.0346002367996,1982,15
2805,,,0,0,75,75,,,1,0,8.12282532126298,1982,15
2806,,,100,100,100,100,,,1,0,9.95294595351771,1982,15
2807,35,0,75,100,,,,,0,0,9.32693072587641,1984,13
2808,,99,0,98,90,,,,0,0,10.3495418910883,1983,14
2809,,,,100,100,100,100,,1,1,10.0675615560117,1981,16
2810,,50,0,0,20,,,,0,1,10.2147033954796,1983,14
2811,90,90,80,100,,,,,1,1,8.40043747804728,1984,13
2812,,,,87,88,0,0,,1,0,10.0852642884478,1981,16
2813,,,0,0,50,0,,,0,1,10.3959855246861,1982,15
2814,,,,,11,,,100,0,1,9.77749591653966,1980,17
2815,,0,,,0,,,,1,1,8.55380101742651,1983,14
2816,0,1,1,0,,,,,1,1,10.0223613147962,1984,13
2817,,,100,100,100,100,,,1,0,10.2377980164002,1982,15
2818,0,99,98,50,,,,,1,0,8.07340801430442,1984,13
2819,,,,100,65,50,50,,0,1,9.14274163048994,1981,16
2820,,100,100,50,100,,,,1,1,8.49856367075085,1983,14
2821,,,,90,100,100,100,,1,1,10.5160691150124,1981,16
2822,,,1,20,99,1,,,0,1,8.49429777017889,1982,15
2823,,,,,0,100,0,0,0,1,9.17541984824247,1980,17
2824,,,,,50,90,50,0,1,1,10.1830206167777,1980,17
2825,,,0,100,100,100,,,0,1,9.25530182676307,1982,15
2826,18,100,10,1,,,,,1,1,9.15315538180318,1984,13
2827,,,50,100,0,90,,,1,1,8.0286266531234,1982,15
2828,,,0,100,100,70,,,1,1,9.31289083787839,1982,15
2829,,,,,100,100,0,0,0,0,10.0814934334314,1980,17
2830,,,99,90,,10,,,0,1,9.65361238547202,1982,15
2831,,,,,25,100,,,0,0,10.301548284117,1980,17
2832,,,25,80,0,,,,1,0,9.90477192282659,1982,15
2833,,100,90,90,97,,,,0,0,9.18677342206998,1983,14
2834,100,,90,100,,,,,1,0,9.75416933422255,1984,13
2835,,,,50,50,,0,,0,0,9.8967173062891,1981,16
2836,,,,,75,0,,,1,1,9.08015671610356,1980,17
2837,,,,,50,,,,1,1,8.47737067229678,1980,17
2838,,,50,0,100,0,,,1,1,9.36908313429292,1982,15
2839,,,,0,0,0,0,,1,0,9.49914975651402,1981,16
2840,,100,100,100,100,,,,1,0,7.93440985529842,1983,14
2841,,90,100,100,100,,,,1,0,10.0806283166877,1983,14
2842,,,,,,0,0,,1,0,9.85859929007795,1981,16
2843,,,,,75,100,,,1,0,9.97087176274824,1980,17
2844,100,75,80,99,,,,,1,0,10.6335157108031,1984,13
2845,,,50,,,,,,1,0,9.05447189946357,1982,15
2846,,,100,40,0,0,,,0,0,9.62634722381377,1982,15
2847,0,0,100,99,,,,,1,0,9.10856764745264,1984,13
2848,,,,,0,0,0,0,1,0,10.5749685989969,1980,17
2849,,,99,,0,70,,,1,0,8.31839233877192,1982,15
2850,,,,,99,100,99,100,0,0,10.6353340864613,1980,17
2851,,100,99,50,1,,,,0,0,9.81732372256037,1983,14
2852,,100,,,,,,,1,0,10.2344836221361,1983,14
2853,,,,100,50,50,0,,1,0,10.1050447578118,1981,16
2854,,60,50,60,50,,,,0,0,10.4601288645155,1983,14
2855,,,,,0,,0,100,1,0,10.258711485558,1980,17
2856,,50,,50,100,,,,1,0,9.9880042187485,1983,14
2857,,,,100,,,,,0,0,9.24739764293212,1981,16
2858,,,,100,100,85,90,,0,0,9.0194855617913,1981,16
2859,,75,75,50,80,,,,1,0,9.43871131321854,1983,14
2860,,,,,100,100,100,100,0,0,9.25323837806655,1980,17
2861,,,50,100,50,100,,,1,0,8.19702101560679,1982,15
2862,,,,69,0,100,100,,0,0,10.9973783983513,1981,16
2863,,0,100,0,0,,,,0,0,10.6398184938802,1983,14
2864,,,90,100,100,100,,,1,0,8.92412404833798,1982,15
2865,100,99,100,100,,,,,1,0,8.90955821500783,1984,13
2866,,,,90,100,90,99,,0,0,10.1124623103975,1981,16
2867,99,0,0,100,,,,,0,0,7.49496326529419,1984,13
2868,,,,25,0,90,99,,0,0,7.92584105136551,1981,16
2869,,,,,90,50,75,50,1,0,9.61389318694051,1980,17
2870,,99,0,100,0,,,,1,0,9.49854519070694,1983,14
2871,,,,0,0,100,100,,0,0,9.42915694762474,1981,16
2872,,,70,0,0,0,,,0,0,10.7097766974055,1982,15
2873,,,,,75,45,40,25,0,0,11.0971764029743,1980,17
2874,,,,75,50,50,0,,0,0,10.0099920118136,1981,16
2875,,,,,90,95,90,90,0,0,11.3460436816792,1980,17
2876,,,,,,100,1,100,0,0,9.30389122615594,1980,17
2877,,50,60,70,90,,,,1,0,10.1742550990719,1983,14
2878,,,,,100,100,100,,1,0,10.2748993332994,1980,17
2879,,,,0,0,,,,1,0,9.55539056656299,1981,16
2880,70,99,100,,,,,,0,0,9.26836608593806,1984,13
2881,,,,75,50,,,,0,0,9.84164183391171,1981,16
2882,,,,50,3,50,0,,0,0,10.4094527196595,1981,16
2883,,50,0,0,0,,,,0,0,9.62098347626269,1983,14
2884,,99,,80,95,,,,0,0,9.77330507599768,1983,14
2885,,,,50,100,50,50,,1,0,9.06902098873524,1981,16
2886,75,90,100,100,,,,,0,1,10.1486321360241,1984,13
2887,,,100,90,50,70,,,1,1,8.64602543577511,1982,15
2888,99,0,99,0,,,,,0,0,9.33263005691518,1984,13
2889,,,,,100,50,50,100,1,0,9.2808324006647,1980,17
2890,,,100,,,,,,0,0,10.4846876758628,1982,15
2891,75,0,,100,,,,,0,0,10.3637645251595,1984,13
2892,,,,100,100,,100,,1,0,7.69819189307107,1981,16
2893,,,60,3,0,,,,0,0,10.3538247020301,1982,15
2894,,,,,100,100,100,100,1,0,8.41577962514029,1980,17
2895,,,100,100,50,100,,,0,1,8.04597995159557,1982,15
2896,,,,,90,50,,,0,0,8.65153275884649,1980,17
2897,,,100,20,0,50,,,0,0,9.66404771613386,1982,15
2898,,100,100,100,100,,,,0,0,9.31564485300201,1983,14
2899,,,,80,90,100,75,,0,0,11.1158687066319,1981,16
2900,,,,80,75,50,75,,0,0,10.6995000959943,1981,16
2901,,50,0,45,25,,,,0,0,9.78511793279008,1983,14
2902,,99,99,50,89,,,,1,0,9.49597176014023,1983,14
2903,,100,100,0,,,,,1,1,7.83650270747656,1983,14
2904,,,,,99,100,10,90,0,0,9.86496212079607,1980,17
2905,,80,100,90,90,,,,1,0,9.81227110286391,1983,14
2906,100,90,50,80,,,,,0,0,9.22235206454562,1984,13
2907,,,,,100,100,100,0,0,0,9.82350066989389,1980,17
2908,,100,25,100,100,,,,0,0,9.56200773937493,1983,14
2909,,90,50,25,50,,,,1,0,9.00681074751521,1983,14
2910,,,,,0,100,75,0,0,1,10.9817313814261,1980,17
2911,,,,,50,0,0,100,0,0,9.13769594489416,1980,17
2912,,50,100,0,0,,,,1,0,9.70376357639684,1983,14
2913,,25,0,0,0,,,,1,0,10.2107356070463,1983,14
2914,,,,90,100,100,70,,1,0,10.2031338013418,1981,16
2915,,,,,50,75,100,75,0,1,10.271059645391,1980,17
2916,,,,25,50,99,95,,0,0,10.4722199075349,1981,16
2917,,,60,75,99,99,,,0,0,10.3868196254599,1982,15
2918,,,90,90,100,,,,0,0,9.15582588257487,1982,15
2919,60,100,80,,,,,,0,0,10.7243446924226,1984,13
2920,,,100,100,50,100,,,0,0,9.94424983675399,1982,15
2921,,,60,80,100,100,,,0,0,9.9963122582641,1982,15
2922,,75,45,50,50,,,,1,0,10.3614168547041,1983,14
2923,100,99,0,0,,,,,0,0,8.05754149550616,1984,13
2924,,,50,99,99,100,,,1,0,8.36917733779979,1982,15
2925,,75,50,50,50,,,,0,0,10.319004025371,1983,14
2926,,,10,100,95,100,,,0,0,10.8590376716721,1982,15
