y1,y2,y3,y4,gen,race,income
50,100,10,30,0,0,52.9417692355915
100,100,100,100,0,0,50.5501996185935
95,100,100,100,1,0,51.9305409383865
75,50,0,0,1,1,49.3201594131607
100,100,0,100,0,0,54.222938352199
50,75,50,100,1,0,51.3876963189805
10,100,100,0,0,0,54.548324601566
5,0,75,2,1,1,43.6635441146626
0,0,50,0,1,1,47.3378113500129
1,10,0,0,0,1,53.5414960770655
75,0,50,50,1,0,51.2954366386565
100,0,0,100,0,0,49.1922401589688
10,0,100,99,0,1,51.760406979595
0,100,50,1,0,0,35.1695786248578
85,99,98,100,1,0,51.2744818772765
95,95,98,95,1,0,52.632110722995
75,10,50,60,0,0,51.5743656591955
70,0,100,5,0,1,53.9707237005715
5,10,25,50,0,0,39.3924495522128
0,45,20,50,0,0,53.0743677360125
80,100,100,100,1,1,48.8360935967543
90,95,99,100,0,1,49.9645078524574
75,100,99,100,0,0,52.1429881350205
50,40,85,75,1,0,50.634540994588
97,100,80,95,0,0,57.1721329120215
100,30,50,100,0,1,51.5307853005425
65,75,100,70,0,0,57.6874191563285
50,75,75,50,0,0,50.2746546727155
0,0,100,0,0,0,48.926882318256
98,50,50,100,1,0,51.3565700470185
50,100,100,100,1,1,52.2540664873745
100,100,100,100,0,1,47.7946553946522
3,100,0,100,0,1,50.334835289606
0,50,100,100,1,1,50.133076905331
90,100,90,100,0,1,41.3773562937531
100,100,99,100,0,0,51.679374124947
98,99,90,99,0,0,48.3648485182971
0,100,100,100,1,0,52.740617461412
2,99,50,50,1,0,53.419370244651
75,90,100,90,1,0,56.1493915464605
100,90,0,0,1,0,54.5677702633285
90,80,50,70,0,0,49.4304776221616
0,85,80,90,1,0,50.8578705621025
10,10,1,0,0,0,55.9007169217195
0,0,0,100,1,0,53.503923804354
0,75,0,0,1,0,50.9200214374865
50,100,98,90,1,0,50.991515760806
3,0,0,0,0,0,50.717581510608
0,100,50,0,1,1,48.1098860673981
85,50,80,80,0,0,51.8880948621195
90,100,100,100,0,0,52.9444741898385
0,0,0,10,0,0,45.6284882779894
50,30,25,25,0,0,51.828049310278
