"PUBID","YSAQ-282C","YSAQ-282D","YSAQ-282E","YSAQ-282F","YSAQ-282G","YTEL-52~000001","YTEL-52~000002","YTEL-52~000003","YTEL-52~000004"
131,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,3,2,3,2,4,-4,-4,-4,-4
133,-5,-5,-5,-5,-5,-4,-4,-4,-4
134,3,2,3,3,3,-5,-5,-5,-5
135,3,3,3,3,4,-4,-4,-4,-4
136,3,2,4,2,4,-4,-4,-4,-4
137,3,1,4,1,4,-4,-4,-4,-4
138,3,2,4,2,3,3,3,3,3
139,3,3,3,2,4,-5,-5,-5,-5
140,-5,-5,-5,-5,-5,-5,-5,-5,-5
141,-5,-5,-5,-5,-5,-5,-5,-5,-5
142,-5,-5,-5,-5,-5,-4,-4,-4,-4
143,3,4,2,4,2,-5,-5,-5,-5
144,4,2,3,2,3,-4,-4,-4,-4
145,3,3,3,3,4,-4,-4,-4,-4
146,4,1,4,1,4,3,4,3,3
147,2,3,2,3,3,3,1,3,3
148,4,2,4,2,4,-4,-4,-4,-4
149,4,3,4,2,4,-4,-4,-4,-4
150,3,2,2,3,4,-4,-4,-4,-4
151,2,3,3,1,3,-4,-4,-4,-4
152,-5,-5,-5,-5,-5,-4,-4,-4,-4
153,3,3,2,3,4,-4,-4,-4,-4
154,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,3,2,4,2,4,-4,-4,-4,-4
156,3,2,3,2,3,-4,-4,-4,-4
157,3,3,3,3,3,-4,-4,-4,-4
158,3,2,4,2,4,-4,-4,-4,-4
159,3,2,3,2,3,4,3,3,3
160,3,4,3,1,4,-4,-4,-4,-4
161,2,1,3,1,1,-4,-4,-4,-4
162,3,4,2,3,4,-4,-4,-4,-4
163,3,4,1,4,4,3,3,1,4
164,2,3,3,2,4,-4,-4,-4,-4
165,3,2,3,2,4,-4,-4,-4,-4
166,2,3,3,2,4,-4,-4,-4,-4
167,2,3,-1,1,3,-4,-4,-4,-4
168,4,2,4,2,4,-4,-4,-4,-4
169,4,3,3,2,4,-4,-4,-4,-4
170,3,4,3,2,3,-4,-4,-4,-4
171,4,3,4,2,4,4,1,3,3
172,-5,-5,-5,-5,-5,-5,-5,-5,-5
173,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,-5,-5,-5,-5,-5,-5,-5,-5,-5
175,4,2,4,2,4,-4,-4,-4,-4
176,3,2,3,2,4,3,1,3,1
177,3,2,3,2,4,3,3,3,3
178,-5,-5,-5,-5,-5,-4,-4,-4,-4
179,-5,-5,-5,-5,-5,-5,-5,-5,-5
180,-5,-5,-5,-5,-5,-4,-4,-4,-4
181,3,2,3,3,4,-4,-4,-4,-4
182,3,2,3,2,4,-4,-4,-4,-4
183,3,3,3,2,4,-4,-4,-4,-4
184,3,2,3,3,4,-4,-4,-4,-4
185,4,2,3,2,3,-4,-4,-4,-4
186,3,3,3,3,4,-5,-5,-5,-5
187,3,3,4,2,4,-4,-4,-4,-4
188,-5,-5,-5,-5,-5,-5,-5,-5,-5
189,3,3,3,2,4,-5,-5,-5,-5
190,3,2,4,2,4,-5,-5,-5,-5
191,3,2,4,2,4,-4,-4,-4,-4
192,4,1,4,2,4,-4,-4,-4,-4
193,3,3,3,3,4,3,3,3,1
194,3,2,2,3,2,-4,-4,-4,-4
195,3,3,2,3,3,-4,-4,-4,-4
196,3,2,3,2,3,-5,-5,-5,-5
197,-5,-5,-5,-5,-5,-5,-5,-5,-5
198,3,3,4,2,4,-4,-4,-4,-4
199,2,4,1,4,1,-4,-4,-4,-4
200,4,2,3,3,4,-4,-4,-4,-4
201,2,3,3,3,3,-4,-4,-4,-4
202,3,2,4,1,4,-4,-4,-4,-4
203,4,2,3,3,3,4,4,4,2
204,3,3,3,3,3,-4,-4,-4,-4
205,3,4,3,3,4,-4,-4,-4,-4
206,3,3,4,2,4,-4,-4,-4,-4
207,2,3,3,3,3,-5,-5,-5,-5
208,3,2,3,2,4,-5,-5,-5,-5
209,4,1,3,3,4,-5,-5,-5,-5
210,4,3,4,2,4,-5,-5,-5,-5
211,3,3,4,1,4,-4,-4,-4,-4
212,4,2,4,2,4,4,3,3,2
213,3,2,4,2,4,-4,-4,-4,-4
214,3,3,3,2,3,-4,-4,-4,-4
215,3,2,3,2,3,-4,-4,-4,-4
216,3,3,3,3,4,-4,-4,-4,-4
217,3,2,4,2,4,-4,-4,-4,-4
218,-5,-5,-5,-5,-5,-5,-5,-5,-5
219,2,4,2,3,3,-4,-4,-4,-4
220,3,2,4,2,4,-5,-5,-5,-5
221,1,4,3,4,3,3,1,1,3
222,4,2,4,2,4,-4,-4,-4,-4
223,4,2,4,2,4,-4,-4,-4,-4
224,3,2,3,2,4,-4,-4,-4,-4
225,4,2,3,1,4,-4,-4,-4,-4
226,1,2,3,4,4,3,3,1,3
227,3,3,1,4,1,-4,-4,-4,-4
228,4,2,4,2,4,3,3,3,2
229,3,2,3,2,4,-4,-4,-4,-4
230,4,2,3,2,3,-4,-4,-4,-4
231,4,2,3,2,3,-4,-4,-4,-4
232,-1,-1,-1,-1,-1,-4,-4,-4,-4
233,3,2,3,3,3,3,3,3,3
234,3,3,3,3,3,-4,-4,-4,-4
235,3,2,3,3,3,-4,-4,-4,-4
236,2,3,3,3,3,-5,-5,-5,-5
237,3,2,3,3,3,-5,-5,-5,-5
238,3,2,3,2,4,-4,-4,-4,-4
239,-5,-5,-5,-5,-5,-4,-4,-4,-4
240,2,3,3,2,4,-4,-4,-4,-4
241,3,2,3,2,4,-4,-4,-4,-4
242,2,3,3,2,3,-4,-4,-4,-4
243,2,3,2,3,2,-4,-4,-4,-4
244,3,2,3,3,4,-4,-4,-4,-4
245,3,3,3,2,4,-4,-4,-4,-4
246,4,2,3,2,3,1,4,1,3
247,4,1,3,2,4,-4,-4,-4,-4
248,2,4,2,3,2,-4,-4,-4,-4
249,-5,-5,-5,-5,-5,-5,-5,-5,-5
250,4,3,3,3,4,-5,-5,-5,-5
251,4,2,3,3,3,-4,-4,-4,-4
252,3,3,3,3,4,-4,-4,-4,-4
253,3,2,4,2,4,-5,-5,-5,-5
254,3,2,3,2,4,-4,-4,-4,-4
255,-5,-5,-5,-5,-5,-5,-5,-5,-5
256,4,2,3,2,4,3,3,2,3
257,3,2,3,2,3,3,3,3,3
258,3,3,3,3,3,-4,-4,-4,-4
259,4,2,4,2,4,-5,-5,-5,-5
260,4,1,4,1,4,4,1,3,1
261,3,2,4,2,4,-4,-4,-4,-4
262,4,4,1,4,3,-4,-4,-4,-4
263,3,2,4,2,4,-5,-5,-5,-5
